City,Category Name,Grade,Avg Growth Rate
PANORA,STRAIGHT BOURBON WHISKIES,low,0.25804268216302795
WINDSOR HEIGHTS,FLAVORED RUM,high,0.25790497649276484
WEST UNION,100% AGAVE TEQUILA,low,0.25785961618531855
PERRY,AMERICAN BRANDIES,low,0.2578396523570043
TAMA,WHISKEY LIQUEUR,low,0.2578382824779515
NORTHWOOD,AMERICAN SCHNAPPS,high,0.25780332159486585
SHENANDOAH,IMPORTED BRANDIES,low,0.257791442493692
WEST LIBERTY,IMPORTED SCHNAPPS,low,0.257630098343912
SPIRIT LAKE,IMPORTED VODKAS,high,0.2576002896119192
JOHNSTON,AGED DARK RUM,low,0.2574868446598643
WEST DES MOINES,SPECIAL ORDER ITEMS,high,0.2572857663166149
TIFFIN,AMERICAN CORDIALS & LIQUEUR,low,0.25709183287144305
HUXLEY,WHISKEY LIQUEUR,low,0.25705285510407777
COLUMBUS JUNCTION,NEUTRAL GRAIN SPIRITS,low,0.25701754385964914
WHEATLAND,IMPORTED SCHNAPPS,high,0.2569444444444444
HUXLEY,BLENDED WHISKIES,low,0.2569099052045854
FONDA,AMERICAN SCHNAPPS,low,0.2568376068376068
POLK CITY,AMERICAN BRANDIES,low,0.25678067248167885
BETTENDORF,MEZCAL,low,0.2567295086445194
PLEASANT HILL,SPICED RUM,high,0.25668830154397293
MONROE,AMERICAN VODKAS,low,0.2566309389179579
ATLANTIC,IRISH WHISKIES,high,0.25661375661375657
MARION,CREAM LIQUEURS,high,0.2564598521752714
WEST LIBERTY,TENNESSEE WHISKIES,low,0.25629229829754246
POMEROY,CREAM LIQUEURS,low,0.25620347394540943
SIOUX CITY,AMERICAN DRY GINS,mid,0.25620239336459344
REINBECK,STRAIGHT BOURBON WHISKIES,low,0.2561475200954811
LENOX,AMERICAN CORDIALS & LIQUEUR,low,0.2560844060405012
WELLMAN,SCOTCH WHISKIES,low,0.2560780034215324
KNOXVILLE,STRAIGHT BOURBON WHISKIES,low,0.25607235767429937
OTTUMWA,SINGLE MALT SCOTCH,mid,0.2560085662818881
FLOYD,IMPORTED DRY GINS,low,0.25596499937767647
ATLANTIC,CANADIAN WHISKIES,high,0.2559510792605197
LAKE MILLS,NEUTRAL GRAIN SPIRITS,low,0.2558737274634832
ATKINS,MIXTO TEQUILA,low,0.25585518282886716
HUMBOLDT,FLAVORED RUM,high,0.25584059589223773
MARSHALLTOWN,SCOTCH WHISKIES,high,0.25580514765151735
HOLSTEIN,IMPORTED CORDIALS & LIQUEUR,low,0.25580189858464086
POSTVILLE,CANADIAN WHISKIES,low,0.2557829297033076
MANNING,AMERICAN SCHNAPPS,low,0.25566958148472296
NEWTON,IMPORTED CORDIALS & LIQUEUR,low,0.2556043218169753
VINTON,IRISH WHISKIES,low,0.25556921943605865
BELLEVUE,IMPORTED VODKAS,high,0.25555555555555554
STUART,AMERICAN BRANDIES,low,0.2555304549852669
COLUMBUS JUNCTION,STRAIGHT BOURBON WHISKIES,low,0.25553044662710483
LAKE CITY,SCOTCH WHISKIES,low,0.2553789928367946
AUDUBON,SINGLE MALT SCOTCH,low,0.25532612002683414
ADEL,TEMPORARY & SPECIALTY PACKAGES,mid,0.25528820139099184
CORALVILLE,IOWA SPIRITS MANUFACTURERS,mid,0.2552591612099556
PAULLINA,FLAVORED RUM,low,0.255197073306348
CLEARLAKE,IMPORTED SCHNAPPS,low,0.2550830443794377
MALVERN,TENNESSEE WHISKIES,low,0.2550549089835805
VILLISCA,BLENDED WHISKIES,low,0.25505298809133614
CEDAR FALLS,CANADIAN WHISKIES,high,0.2550087452082619
ANKENY,GOLD RUM,low,0.25499744288175413
SWISHER,IMPORTED CORDIALS & LIQUEUR,low,0.25495300464456366
WATERLOO,IMPORTED CORDIALS & LIQUEUR,high,0.25492156843777813
ANITA,FLAVORED RUM,low,0.2548384342470837
TOLEDO,AMERICAN VODKAS,high,0.2547962100018419
STRAWBERRY POINT,WHISKEY LIQUEUR,low,0.2546337780778313
CENTER POINT,CREAM LIQUEURS,low,0.2545871288122496
INDEPENDENCE,SINGLE MALT SCOTCH,low,0.254454608969192
PAULLINA,CREAM LIQUEURS,low,0.2544272832703827
FARMINGTON,MIXTO TEQUILA,low,0.2543523853844324
BANCROFT,AMERICAN CORDIALS & LIQUEUR,low,0.2542498003537104
IOWA FALLS,STRAIGHT BOURBON WHISKIES,low,0.2539695906468205
RICEVILLE,CANADIAN WHISKIES,high,0.25396122209120625
FORT ATKINSON,STRAIGHT RYE WHISKIES,low,0.253960943257185
GILBERTVILLE,IMPORTED CORDIALS & LIQUEUR,low,0.2539351611151549
ANTHON,WHISKEY LIQUEUR,high,0.2538746774867043
SANBORN,SPICED RUM,high,0.25371120107962203
ROCK VALLEY,MIXTO TEQUILA,low,0.25352412084130055
EARLY,WHISKEY LIQUEUR,low,0.2534770689330174
MARSHALLTOWN,AMERICAN CORDIALS & LIQUEUR,high,0.25334597384548363
OSCEOLA,COCKTAILS/RTD,low,0.25317294163503296
MARSHALLTOWN,IMPORTED CORDIALS & LIQUEUR,high,0.25305069244507816
MT PLEASANT,IMPORTED BRANDIES,low,0.2530275970136444
ELKADER,TENNESSEE WHISKIES,low,0.2529969883355409
SHUEYVILLE,STRAIGHT RYE WHISKIES,low,0.2529911102133497
BLOOMFIELD,AMERICAN BRANDIES,low,0.25272856070569744
WAVERLY,IOWA SPIRITS MANUFACTURERS,high,0.25270546943550765
SIOUX CENTER,IRISH WHISKIES,high,0.2526141040029928
CORALVILLE,MIXTO TEQUILA,high,0.2525552443199502
GRIMES,WHISKEY LIQUEUR,mid,0.252515479876161
URBANDALE,IMPORTED VODKAS,high,0.2524944435691126
FAIRFIELD,100% AGAVE TEQUILA,low,0.25241816286004215
CLARION,AMERICAN SCHNAPPS,low,0.252241220205959
WEST BRANCH,IRISH WHISKIES,low,0.25223844443052124
MUSCATINE,SINGLE MALT SCOTCH,high,0.2522075160549047
MARTENSDALE,IMPORTED VODKAS,low,0.2521865514793574
SWISHER,CANADIAN WHISKIES,low,0.2521086340542679
WAPELLO,AMERICAN FLAVORED VODKA,low,0.2520974248892642
NEW HAMPTON,AMERICAN FLAVORED VODKA,low,0.2520656844659763
MANSON,100% AGAVE TEQUILA,low,0.25195865431569847
MARION,AMERICAN CORDIALS & LIQUEUR,low,0.2518732568340414
DAVENPORT,TENNESSEE WHISKIES,high,0.2518288516211338
JEFFERSON,AGED DARK RUM,low,0.2518130344000033
LE MARS,IMPORTED BRANDIES,low,0.251704763266209
WATERLOO,IRISH WHISKIES,low,0.25165228210425045
NICHOLS,IMPORTED BRANDIES,low,0.25158281609060174
CARLISLE,AMERICAN FLAVORED VODKA,low,0.25152102279593413
STATE CENTER,100% AGAVE TEQUILA,low,0.2514003795771672
WEST DES MOINES,IMPORTED CORDIALS & LIQUEUR,high,0.2513205491570362
IOWA CITY,MIXTO TEQUILA,high,0.25130598964687667
CRESCO,NEUTRAL GRAIN SPIRITS,low,0.25123158148523744
CENTERVILLE,COCKTAILS/RTD,low,0.2511475286040244
WYOMING,STRAIGHT BOURBON WHISKIES,high,0.2511415525114155
ALDEN,IMPORTED CORDIALS & LIQUEUR,low,0.25112064058064393
PERRY,IMPORTED VODKAS,low,0.2510351994575369
FARMINGTON,SPICED RUM,low,0.2509464575736689
WAUKEE,MIXTO TEQUILA,high,0.2509353633628326
ST CHARLES,SPICED RUM,low,0.250932952725499
FOREST CITY,NEUTRAL GRAIN SPIRITS FLAVORED,low,0.25091891146748924
TIPTON,WHITE RUM,high,0.2508735213495222
IOWA FALLS,IMPORTED DISTILLED SPIRIT SPECIALTY,low,0.25084753703716745
MARCUS,WHISKEY LIQUEUR,low,0.25075839812871176
WASHBURN,AMERICAN VODKAS,low,0.25062373488814194
ALDEN,IMPORTED DRY GINS,low,0.2505732836972879
CEDAR FALLS,FLAVORED RUM,high,0.2505295514483192
WALNUT,TENNESSEE WHISKIES,low,0.2505146842027611
HAMBURG,IOWA SPIRITS MANUFACTURERS,low,0.2504978553921572
GEORGE,SPICED RUM,low,0.25042395392882083
MONROE,IMPORTED BRANDIES,low,0.2503889565624459
WINTHROP,STRAIGHT BOURBON WHISKIES,low,0.25038357038196846
TIPTON,FLAVORED RUM,low,0.2503599628132307
MANCHESTER,STRAIGHT BOURBON WHISKIES,low,0.2503421311120981
HILLS,IMPORTED BRANDIES,low,0.25019967709866103
STUART,TRIPLE SEC,low,0.2501542573610693
CEDAR RAPIDS,BLENDED WHISKIES,mid,0.2501429388221841
GRIMES,MIXTO TEQUILA,high,0.2501413619060678
CLARKSVILLE,CANADIAN WHISKIES,low,0.25012127375918364
FAIRBANK,NEUTRAL GRAIN SPIRITS,low,0.2501058201058201
AFTON,AMERICAN VODKAS,low,0.25009635148961223
LIVERMORE,CANADIAN WHISKIES,high,0.2500000000000001
CORNING,AMERICAN SLOE GINS,low,0.25000000000000006
CLERMONT,TENNESSEE WHISKIES,high,0.25000000000000006
GLENWOOD,BOTTLED IN BOND BOURBON,high,0.25000000000000006
MARION,AMERICAN SLOE GINS,low,0.25000000000000006
WYOMING,IMPORTED VODKAS,low,0.25
ROCKFORD,SPICED RUM,high,0.25
NEW LONDON,IMPORTED SCHNAPPS,high,0.25
TIPTON,TENNESSEE WHISKIES,mid,0.25
HUMBOLDT,IMPORTED BRANDIES,high,0.25
ALLISON,NEUTRAL GRAIN SPIRITS FLAVORED,low,0.25
SAC CITY,COFFEE LIQUEURS,high,0.25
HIAWATHA,MIXTO TEQUILA,high,0.25
MAQUOKETA,COFFEE LIQUEURS,high,0.25
GREENE,COFFEE LIQUEURS,high,0.25
COLUMBUS JUNCTION,FLAVORED GIN,low,0.25
CHEROKEE,WHISKEY LIQUEUR,mid,0.25
LAWLER,IMPORTED DISTILLED SPIRIT SPECIALTY,low,0.25
NORA SPRINGS,WHITE RUM,high,0.25
BELLEVUE,NEUTRAL GRAIN SPIRITS FLAVORED,low,0.25
SIBLEY,IRISH WHISKIES,high,0.25
ROCKWELL CITY,IMPORTED CORDIALS & LIQUEUR,high,0.25
CRESCENT,NEUTRAL GRAIN SPIRITS FLAVORED,low,0.25
GUTTENBERG,MIXTO TEQUILA,high,0.25
GLIDDEN,TRIPLE SEC,low,0.25
MARCUS,WHITE RUM,high,0.25
WALCOTT,IMPORTED VODKAS,high,0.25
MALVERN,AMERICAN DRY GINS,low,0.25
NORTH ENGLISH,IMPORTED SCHNAPPS,high,0.25
COLO,STRAIGHT RYE WHISKIES,low,0.24999999999999994
SPRINGVILLE,SPICED RUM,high,0.24999999999999992
AUDUBON,WHISKEY LIQUEUR,low,0.24991359290355755
DUBUQUE,100% AGAVE TEQUILA,low,0.24979874483942477
FLOYD,IMPORTED CORDIALS & LIQUEURS,low,0.24978466838931948
GILBERTVILLE,IMPORTED SCHNAPPS,low,0.24969162343064247
CARROLL,AMERICAN DISTILLED SPIRIT SPECIALTY,low,0.24968193384223933
SIGOURNEY,FLAVORED RUM,low,0.24964339588536907
WEST BEND,SINGLE BARREL BOURBON WHISKIES,low,0.24957063918757452
SERGEANT BLUFF,WHISKEY LIQUEUR,low,0.24943485770710452
INDIANOLA,COCKTAILS/RTD,low,0.2493547388600703
DELAWARE,AMERICAN BRANDIES,low,0.24934233128222652
DECORAH,FLAVORED RUM,low,0.24932229622247673
PLEASANT HILL,AMERICAN CORDIALS & LIQUEUR,high,0.2493178547360019
BONDURANT,IMPORTED VODKAS,low,0.2492780727033996
HOLY CROSS,IMPORTED CORDIALS & LIQUEUR,low,0.249248699927524
INDEPENDENCE,FLAVORED RUM,low,0.24920088897016143
SPIRIT LAKE,AMERICAN VODKAS,mid,0.24903225806451604
RIVERSIDE,100% AGAVE TEQUILA,low,0.24891029336689405
BELLE PLAINE,NEUTRAL GRAIN SPIRITS,low,0.24887925951911602
REDFIELD,CANADIAN WHISKIES,low,0.2488054289834812
RUNNELLS,TEMPORARY & SPECIALTY PACKAGES,low,0.24878317447398726
NEVADA,TENNESSEE WHISKIES,low,0.2487419040397382
MANCHESTER,COCKTAILS/RTD,low,0.2486990150606018
ONAWA,NEUTRAL GRAIN SPIRITS,low,0.24867151153036657
ATLANTIC,AMERICAN CORDIALS & LIQUEUR,low,0.2485898174698171
LAWLER,IMPORTED FLAVORED VODKA,low,0.24856801168160073
RIVERSIDE,AMERICAN VODKAS,high,0.2484219356760006
DE SOTO,CANADIAN WHISKIES,high,0.24837669583630126
GREENFIELD,BLENDED WHISKIES,low,0.24831615392630343
DUMONT,IMPORTED VODKAS,low,0.2483091787439614
GRIMES,SCOTCH WHISKIES,low,0.24829975803197324
FAIRFIELD,COCKTAILS/RTD,low,0.24828705410804572
GARNER,FLAVORED GIN,low,0.2481616334689798
MOUNT PLEASANT,BOTTLED IN BOND BOURBON,low,0.2481323139861297
GUTHRIE CENTER,AMERICAN SCHNAPPS,low,0.24812086930259658
SLOAN,COCKTAILS/RTD,low,0.2481116391871541
BETTENDORF,TENNESSEE WHISKIES,high,0.24807124161316507
BURLINGTON,IMPORTED SCHNAPPS,low,0.24806154919429155
WEST DES MOINES,COFFEE LIQUEURS,high,0.2480585424133812
MITCHELLVILLE,STRAIGHT BOURBON WHISKIES,low,0.24802735477553525
CLINTON,WHISKEY LIQUEUR,high,0.24799954079773365
WEST DES MOINES,CANADIAN WHISKIES,high,0.24798181590372725
WOODBINE,100% AGAVE TEQUILA,low,0.24794593514803878
PEOSTA,TENNESSEE WHISKIES,low,0.24794056037834608
WATERLOO,AMERICAN VODKAS,mid,0.2479257417690149
MADRID,SPICED RUM,high,0.24775929165141217
MELCHER-DALLAS,IRISH WHISKIES,low,0.2477470018565909
GRIMES,WHISKEY LIQUEUR,low,0.24768435553292237
JOHNSTON,100% AGAVE TEQUILA,mid,0.2476776080787637
BONDURANT,COCKTAILS/RTD,low,0.24766659746450836
MOUNT AYR,MIXTO TEQUILA,low,0.24753420916809862
MONTEZUMA,COCKTAILS/RTD,low,0.2474361139814665
NORTHWOOD,TENNESSEE WHISKIES,low,0.2474131240240067
DE SOTO,WHITE RUM,low,0.24726918409721996
ANAMOSA,IMPORTED CORDIALS & LIQUEURS,low,0.24725774367718098
CLARENCE,CANADIAN WHISKIES,high,0.24724878157355878
ACKLEY,WHITE RUM,low,0.24723793176292264
NEVADA,AMERICAN DRY GINS,low,0.2471785037717863
ANKENY,BLENDED WHISKIES,low,0.24715524052343638
CENTRAL CITY,SPICED RUM,high,0.24707299095788296
WEST LIBERTY,CANADIAN WHISKIES,high,0.2470294114914624
ST LUCAS,SPICED RUM,low,0.24699132996443063
FOREST CITY,BLENDED WHISKIES,low,0.24697579262847758
LATIMER,SPICED RUM,low,0.24697099011578097
GOLDFIELD,BLENDED WHISKIES,low,0.24697042533036803
MANCHESTER,MIXTO TEQUILA,high,0.24688069216757744
BLUE GRASS,STRAIGHT BOURBON WHISKIES,low,0.24687439711498624
ADEL,AMERICAN CORDIALS & LIQUEUR,low,0.24684487844264272
CRESCO,STRAIGHT BOURBON WHISKIES,low,0.24677487579363278
INDEPENDENCE,100% AGAVE TEQUILA,low,0.24676288384823397
GLENWOOD,MIXTO TEQUILA,low,0.24671432183873834
DOON,TENNESSEE WHISKIES,low,0.2464540125228131
STATE CENTER,IMPORTED FLAVORED VODKA,low,0.24645027203106576
BETTENDORF,SCOTCH WHISKIES,mid,0.2464488338715464
GRAETTINGER,AMERICAN CORDIALS & LIQUEUR,low,0.24641954190184454
ADEL,FLAVORED RUM,low,0.24637940719823126
ELKADER,STRAIGHT BOURBON WHISKIES,high,0.24636365486365489
MANCHESTER,AMERICAN CORDIALS & LIQUEUR,low,0.24631371998135174
BELLEVUE,TENNESSEE WHISKIES,high,0.24624928460469295
GUTHRIE CENTER,COCKTAILS/RTD,low,0.24615083232434945
EVANSDALE,FLAVORED RUM,high,0.24605910499465714
INDIANOLA,IOWA SPIRITS MANUFACTURERS,low,0.24585548371396096
EMMETSBURG,COFFEE LIQUEURS,low,0.24582508285939172
MILFORD,BLENDED WHISKIES,low,0.24582304460206086
ACKLEY,AMERICAN VODKAS,low,0.24567790343274107
MURRAY,WHITE RUM,low,0.24567013056221684
LANSING,FLAVORED RUM,low,0.24563204645815925
HIAWATHA,AMERICAN FLAVORED VODKA,high,0.24551076734360097
WAUKON,AGED DARK RUM,low,0.24548772104858582
GRAND MOUNDS,AMERICAN FLAVORED VODKA,high,0.24548736462093873
NORWALK,COCKTAILS/RTD,low,0.24544233313411987
HAMBURG,CANADIAN WHISKIES,high,0.24543673621692216
MONTROSE,CREAM LIQUEURS,low,0.24536286570657997
VINTON,AMERICAN DRY GINS,low,0.24532752536326943
COLUMBUS JUNCTION,MIXTO TEQUILA,low,0.24519443653216233
WEST DES MOINES,IMPORTED BRANDIES,low,0.2451922653808211
SWEA CITY,CREAM LIQUEURS,low,0.24503868569694023
MOUNT AYR,AMERICAN VODKAS,low,0.2449262317191394
DYERSVILLE,IMPORTED CORDIALS & LIQUEUR,low,0.244670159797839
WELLMAN,FLAVORED RUM,low,0.24457878540724173
MUSCATINE,100% AGAVE TEQUILA,low,0.24455711292778162
ARLINGTON,AMERICAN VODKAS,low,0.244478291526758
PRAIRIE CITY,SPICED RUM,high,0.24444444444444446
MASON CITY,MIXTO TEQUILA,high,0.24443541641098995
DEWITT,AMERICAN DRY GINS,low,0.24440460702950903
HARLAN,IRISH WHISKIES,low,0.2443396060330512
SANBORN,WHISKEY LIQUEUR,low,0.24417520557405914
LARCHWOOD,FLAVORED RUM,low,0.24415523672351327
MUSCATINE,AMERICAN SCHNAPPS,high,0.2441264160752223
LENOX,AMERICAN SCHNAPPS,low,0.24392723300655073
HIAWATHA,COCKTAILS/RTD,low,0.2439239619554919
IOWA FALLS,AMERICAN DRY GINS,low,0.24391505656946602
MAQUOKETA,AMERICAN VODKAS,high,0.24390076116685652
STORM LAKE,IMPORTED SCHNAPPS,high,0.24381591186335597
IOWA FALLS,100% AGAVE TEQUILA,low,0.24367681947993683
SPENCER,SINGLE MALT SCOTCH,low,0.2436715734597453
TRURO,WHISKEY LIQUEUR,low,0.2436339384199898
EVANSDALE,TRIPLE SEC,low,0.24354487367779776
SIOUX RAPIDS,SPICED RUM,low,0.24328050086624367
MUSCATINE,SCOTCH WHISKIES,high,0.24325200305921402
EXIRA,IMPORTED VODKAS,low,0.2432009058105682
CORWITH,FLAVORED RUM,low,0.24319971175368418
CRESCO,SINGLE MALT SCOTCH,low,0.24319627687887715
WAVERLY,IMPORTED BRANDIES,low,0.24312626536485857
SIOUX CITY,100% AGAVE TEQUILA,low,0.2430709440255304
MELCHER-DALLAS,AMERICAN SCHNAPPS,low,0.243063677757723
MARION,IMPORTED CORDIALS & LIQUEUR,high,0.242969358642799
OKOBOJI,WHISKEY LIQUEUR,high,0.24291770711517313
BONDURANT,BLENDED WHISKIES,low,0.2428811437085133
GRAND JUNCTION,SPICED RUM,low,0.24266977460119213
BANCROFT,GOLD RUM,low,0.24266092275253448
MARION,FLAVORED GIN,low,0.24239951520379208
MARSHALLTOWN,COCKTAILS/RTD,low,0.24233918451747394
NORWALK,MIXTO TEQUILA,low,0.2422375420594182
FOREST CITY,STRAIGHT BOURBON WHISKIES,low,0.2422288192531944
ANITA,IMPORTED BRANDIES,low,0.24221718295355651
POLK CITY,IRISH WHISKIES,low,0.24219760021049386
ROCK RAPIDS,IRISH WHISKIES,low,0.24200787536359217
SIGOURNEY,TENNESSEE WHISKIES,low,0.24200668310042614
BETTENDORF,IMPORTED BRANDIES,low,0.2420026151819142
DENVER,BLENDED WHISKIES,high,0.24200000000000002
CLARKSVILLE,AMERICAN FLAVORED VODKA,low,0.2419833982683505
BLOOMFIELD,CREAM LIQUEURS,low,0.24198054297374047
TIPTON,TRIPLE SEC,low,0.24175966999134105
ORANGE CITY,IMPORTED BRANDIES,low,0.24170340066759413
POSTVILLE,AMERICAN FLAVORED VODKA,low,0.24160883752947648
BEVINGTON,MIXTO TEQUILA,low,0.24158333308201896
ATKINS,AMERICAN FLAVORED VODKA,high,0.24156305506216702
NEW HAMPTON,CORN WHISKIES,low,0.2413793103448276
MOUNT PLEASANT,STRAIGHT BOURBON WHISKIES,high,0.24133647046212994
GRUNDY CENTER,CREAM LIQUEURS,high,0.24130434782608692
BONDURANT,WHISKEY LIQUEUR,low,0.24129136748588143
MILFORD,COCKTAILS/RTD,low,0.24116853800955337
MUSCATINE,AMERICAN SLOE GINS,low,0.24113821814576789
OTTUMWA,IMPORTED CORDIALS & LIQUEUR,high,0.24111959358765409
MT PLEASANT,IMPORTED SCHNAPPS,low,0.24110509860509854
BETTENDORF,COCKTAILS/RTD,low,0.24110141419426656
HUMBOLDT,IMPORTED CORDIALS & LIQUEUR,high,0.24105132980935803
OTHO,AMERICAN VODKAS,low,0.2410376726854392
MOUNT PLEASANT,100% AGAVE TEQUILA,low,0.2409958983243221
ONAWA,100% AGAVE TEQUILA,low,0.24095566757646017
ELY,AMERICAN VODKAS,high,0.24094548231540883
RED OAK,BLENDED WHISKIES,low,0.24093437507688362
ELKADER,MIXTO TEQUILA,low,0.24086815012172982
BLUE GRASS,CREAM LIQUEURS,low,0.24071745921629006
MAXWELL,WHISKEY LIQUEUR,low,0.24069371255191707
REDFIELD,AMERICAN VODKAS,low,0.24054999165271865
MUSCATINE,CANADIAN WHISKIES,high,0.24054863792671585
HAZLETON,IMPORTED SCHNAPPS,low,0.24042145593869732
MUSCATINE,AMERICAN CORDIALS & LIQUEUR,low,0.24034571860966794
URBANA,STRAIGHT BOURBON WHISKIES,low,0.24026889652393948
GARNER,STRAIGHT RYE WHISKIES,low,0.24025448716193817
AFTON,TENNESSEE WHISKIES,low,0.24022479750110046
MELCHER-DALLAS,BLENDED WHISKIES,low,0.24008322522447878
URBANDALE,IMPORTED CORDIALS & LIQUEUR,low,0.2398932475701714
CORALVILLE,STRAIGHT BOURBON WHISKIES,low,0.23984808483937833
WEST BURLINGTON,COCKTAILS/RTD,low,0.23966021079470853
WAUKON,IMPORTED FLAVORED VODKA,low,0.23956574754160861
EVANSDALE,CREAM LIQUEURS,low,0.23955077636479774
MALVERN,COCKTAILS/RTD,low,0.2394751200630872
AFTON,BLENDED WHISKIES,low,0.23940781440781436
FARMINGTON,BLENDED WHISKIES,low,0.2393994643264116
SERGEANT BLUFF,IMPORTED VODKAS,low,0.23935777911445347
WILLIAMSBURG,AMERICAN VODKAS,high,0.23933057649349254
SIGOURNEY,IOWA SPIRITS MANUFACTURERS,high,0.23928416036660463
DENVER,IRISH WHISKIES,low,0.23919005140388463
CLERMONT,TENNESSEE WHISKIES,low,0.23917316609445263
GOWRIE,AMERICAN SCHNAPPS,low,0.23909519540363444
MASON CITY,COCKTAILS/RTD,low,0.2390179119445609
CRESCO,WHISKEY LIQUEUR,low,0.23890925841227462
PELLA,STRAIGHT BOURBON WHISKIES,high,0.2388787776386648
SPIRIT LAKE,MIXTO TEQUILA,high,0.23887869960801242
BUFFALO,TENNESSEE WHISKIES,high,0.23882179803488732
EMMETSBURG,MIXTO TEQUILA,low,0.23878626489900615
SHUEYVILLE,IMPORTED SCHNAPPS,low,0.23875991893790585
COUNCIL BLUFFS,IMPORTED CORDIALS & LIQUEUR,high,0.23875691640985894
GREENFIELD,IMPORTED DRY GINS,low,0.2387430156706031
KEOKUK,SINGLE MALT SCOTCH,mid,0.2387253994844458
OSCEOLA,IMPORTED CORDIALS & LIQUEUR,high,0.23867243867243862
HARTLEY,COCKTAILS/RTD,low,0.2386325766627122
IDA GROVE,STRAIGHT BOURBON WHISKIES,low,0.23861487842514081
PANORA,WHISKEY LIQUEUR,high,0.23854955439910186
PARKERSBURG,COFFEE LIQUEURS,low,0.2385151464875408
BRITT,AMERICAN VODKAS,high,0.23850460045048938
RED OAK,IMPORTED DRY GINS,low,0.23845320240298054
BURLINGTON,STRAIGHT BOURBON WHISKIES,high,0.23842588919676408
NEW LONDON,IMPORTED BRANDIES,low,0.2383826465783263
MANCHESTER,STRAIGHT RYE WHISKIES,low,0.23830422098602355
LAKE MILLS,COCKTAILS/RTD,low,0.23824270695773983
HOLSTEIN,AMERICAN SCHNAPPS,high,0.23817355956688946
NORTH LIBERTY,IMPORTED BRANDIES,low,0.2381316420202636
ROCK RAPIDS,IMPORTED CORDIALS & LIQUEUR,low,0.23809542295529731
PEOSTA,AMERICAN CORDIALS & LIQUEUR,low,0.23803858071904715
ALTOONA,STRAIGHT RYE WHISKIES,low,0.2379927035186614
WOODWARD,AMERICAN VODKAS,low,0.23798850162507312
BELLE PLAINE,IRISH WHISKIES,low,0.23795252583069085
NASHUA,STRAIGHT BOURBON WHISKIES,low,0.2378958493998239
GLIDDEN,SCOTCH WHISKIES,low,0.23789173789173787
SOLON,IMPORTED SCHNAPPS,low,0.23783999957025626
ESTHERVILLE,SINGLE BARREL BOURBON WHISKIES,low,0.23776294929554495
SIOUX CITY,CORN WHISKIES,low,0.23773703383814945
MADRID,TRIPLE SEC,low,0.23773339570254115
EXIRA,COCKTAILS/RTD,low,0.23770805334878362
EAGLE GROVE,COCKTAILS/RTD,low,0.2375824153055912
MT PLEASANT,MIXTO TEQUILA,low,0.23720092991423516
BURLINGTON,AMERICAN VODKAS,high,0.23719187729002175
DE SOTO,AMERICAN VODKAS,high,0.23710584713391322
URBANDALE,AMERICAN DRY GINS,low,0.23700672483169083
ALBIA,SINGLE MALT SCOTCH,low,0.23686925835359396
BONDURANT,TRIPLE SEC,low,0.23674192590774665
ALBIA,STRAIGHT BOURBON WHISKIES,low,0.23663680947337543
CORALVILLE,SINGLE MALT SCOTCH,low,0.23649256548989586
OSKALOOSA,IRISH WHISKIES,low,0.2364294188026608
CORYDON,NEUTRAL GRAIN SPIRITS,low,0.23639455782312924
INDIANOLA,IMPORTED DRY GINS,low,0.23637534635782678
GRINNELL,IOWA SPIRITS MANUFACTURERS,mid,0.23634545310519647
WATERLOO,IMPORTED CORDIALS & LIQUEURS,low,0.2363320774778814
SLOAN,CANADIAN WHISKIES,high,0.236248913795483
HAZLETON,CREAM LIQUEURS,low,0.2362331033866001
WAVERLY,SINGLE MALT SCOTCH,high,0.23619711815693664
INDEPENDENCE,IRISH WHISKIES,low,0.23614183276281434
IOWA FALLS,TEMPORARY & SPECIALTY PACKAGES,low,0.2360626753607217
PARKERSBURG,CREAM LIQUEURS,low,0.23587415016636146
BOONE,COCKTAILS/RTD,low,0.2358324740105079
LONE TREE,BLENDED WHISKIES,low,0.23582394632942846
CUMMING,STRAIGHT BOURBON WHISKIES,low,0.23579238991860355
PACIFIC JUNCTION,100% AGAVE TEQUILA,low,0.23578550178879518
MINDEN,IOWA SPIRITS MANUFACTURERS,low,0.23576671990244902
ELLSWORTH,IRISH WHISKIES,low,0.2357657430777035
RED OAK,IRISH WHISKIES,high,0.23571428571428577
CRESTON,STRAIGHT RYE WHISKIES,low,0.23569914679295367
HARTLEY,AMERICAN CORDIALS & LIQUEUR,low,0.2356967906620516
WINDSOR HEIGHTS,SINGLE BARREL BOURBON WHISKIES,low,0.23568934694314705
ST ANSGAR,STRAIGHT BOURBON WHISKIES,low,0.23563246842296237
OXFORD,AMERICAN BRANDIES,low,0.23562738656244628
AUDUBON,COFFEE LIQUEURS,low,0.23553942342290354
URBANDALE,SINGLE MALT SCOTCH,mid,0.23551123035751798
COUNCIL BLUFFS,100% AGAVE TEQUILA,low,0.2354834036701505
OKOBOJI,STRAIGHT BOURBON WHISKIES,low,0.23547621008593855
BETTENDORF,IMPORTED CORDIALS & LIQUEURS,low,0.23543569074312995
SHUEYVILLE,SPICED RUM,low,0.23537566484959282
SHEFFIELD,MIXTO TEQUILA,low,0.23529661072479072
SERGEANT BLUFF,AMERICAN DRY GINS,low,0.23522502256459824
FAIRBANK,MIXTO TEQUILA,low,0.23518779877820054
