City,Category Name,Grade,Avg Growth Rate
WEBSTER CITY,SINGLE BARREL BOURBON WHISKIES,low,0.42034785884017056
REDFIELD,WHITE RUM,low,0.4202004483421149
FLOYD,IMPORTED FLAVORED VODKA,low,0.42016874639650137
MASON CITY,SINGLE MALT SCOTCH,high,0.4201655620314428
LARCHWOOD,AMERICAN CORDIALS & LIQUEUR,high,0.4201282144353636
INDIANOLA,SINGLE MALT SCOTCH,mid,0.4200305628440413
BETTENDORF,COFFEE LIQUEURS,high,0.41999999999999993
ST CHARLES,WHISKEY LIQUEUR,low,0.4196434283907246
CENTER POINT,MIXTO TEQUILA,low,0.4195460233732768
IOWA FALLS,AMERICAN SCHNAPPS,high,0.41949618755738766
ANAMOSA,MEZCAL,low,0.41948051948051956
JESUP,SPICED RUM,low,0.41946937840680043
WELLMAN,TENNESSEE WHISKIES,high,0.41944444444444434
SOLON,100% AGAVE TEQUILA,low,0.41928204088772797
DEXTER,IMPORTED CORDIALS & LIQUEUR,low,0.41904903432934
MANNING,NEUTRAL GRAIN SPIRITS,low,0.4188059922110707
SOLON,IOWA SPIRITS MANUFACTURERS,low,0.41877627095271874
REINBECK,WHITE RUM,low,0.4187261810367651
CRESCO,IRISH WHISKIES,high,0.4184343434343434
MISSOURI VALLEY,IMPORTED BRANDIES,low,0.41833501713975685
MARENGO,COFFEE LIQUEURS,low,0.41821866396077273
PARKERSBURG,100% AGAVE TEQUILA,low,0.4181467258680447
KALONA,BOTTLED IN BOND BOURBON,low,0.41812310030395144
GLADBROOK,IMPORTED CORDIALS & LIQUEUR,low,0.41811490863812906
VAN METER,STRAIGHT BOURBON WHISKIES,low,0.4181035085771953
FORT DODGE,SINGLE BARREL BOURBON WHISKIES,low,0.4179743016445367
JOHNSTON,AMERICAN CORDIALS & LIQUEUR,high,0.4178363987515441
WALCOTT,WHITE RUM,low,0.4177929329900586
LATIMER,AMERICAN SCHNAPPS,low,0.417786170182997
PLEASANT HILL,IMPORTED BRANDIES,low,0.41765627352885665
CEDAR RAPIDS,AGED DARK RUM,low,0.41755695121687925
