Bottle Size,Grade,Avg Growth Rate
l,mid,2.906455722124702
l,high,0.5061140186999683
s,mid,0.5028597506681224
m,high,0.4310364000186899
m,mid,0.41573013918076446
s,high,0.28199954287442464
s,low,0.15226632480157318
m,low,0.13571430826766126
l,low,0.04803090131632806
