Category Name,Bottle Size,Grade,Avg Growth Rate
IMPORTED DISTILLED SPIRIT SPECIALTY,l,low,0.14874031136458823
BOTTLED IN BOND BOURBON,m,high,0.14851540749348136
IMPORTED BRANDIES,m,low,0.13620991202222635
MIXTO TEQUILA,m,low,0.13595296042179453
TENNESSEE WHISKIES,m,low,0.13553775980794888
IMPORTED CORDIALS & LIQUEURS,l,low,0.13397265540132786
WHITE RUM,s,high,0.1332068138951609
IMPORTED SCHNAPPS,s,low,0.12928855417892632
STRAIGHT RYE WHISKIES,m,low,0.1291226863018782
AMERICAN DRY GINS,m,low,0.1269571762257442
IMPORTED DRY GINS,m,low,0.1258519916687337
AMERICAN VODKAS,s,low,0.11691728945645802
IMPORTED SCHNAPPS,m,low,0.11395719539378148
TENNESSEE WHISKIES,s,low,0.10861148645088144
IMPORTED SCHNAPPS,l,low,0.10193356151498001
SPICED RUM,s,high,0.10054007848999537
COCKTAILS/RTD,m,low,0.0990524130043852
SINGLE MALT SCOTCH,m,low,0.09621142713954178
CREAM LIQUEURS,m,low,0.09594998590287168
COFFEE LIQUEURS,s,high,0.09530694077341317
COFFEE LIQUEURS,l,low,0.09315491341275427
CREAM LIQUEURS,l,low,0.09296806570493164
SPECIAL ORDER ITEMS,m,high,0.09263398080845502
FLAVORED RUM,l,low,0.09236313851724993
SINGLE MALT SCOTCH,m,mid,0.09194653034471505
AMERICAN BRANDIES,s,high,0.09031307975638082
IRISH WHISKIES,m,low,0.08857252604494643
AMERICAN SCHNAPPS,s,low,0.08506118942986114
CREAM LIQUEURS,s,low,0.08495853921964758
WHITE RUM,s,low,0.08436264776191289
AMERICAN FLAVORED VODKA,m,low,0.0799178550363746
SINGLE MALT SCOTCH,m,high,0.07907896140163344
AMERICAN CORDIALS & LIQUEUR,l,low,0.07707794579448998
SPICED RUM,s,low,0.07595529746993061
AMERICAN SCHNAPPS,m,low,0.07200316211794854
SCOTCH WHISKIES,s,low,0.0706914381027106
IRISH WHISKIES,l,low,0.07015655735359828
AMERICAN VODKAS,l,low,0.06701691106215563
SPECIAL ORDER ITEMS,m,low,0.06456347946040521
BLENDED WHISKIES,s,low,0.06313992473175631
GOLD RUM,m,low,0.05913425034501541
AMERICAN SLOE GINS,l,low,0.05825364543621673
AMERICAN BRANDIES,s,low,0.05767173150915858
SCOTCH WHISKIES,m,low,0.05289316768566707
TRIPLE SEC,l,low,0.0515140529630953
WHISKEY LIQUEUR,m,low,0.046905308190258545
MIXTO TEQUILA,l,low,0.04621693338557168
IMPORTED DRY GINS,l,low,0.04449430764434614
STRAIGHT BOURBON WHISKIES,l,low,0.042624760750322475
WHITE RUM,m,low,0.040622772452820075
AMERICAN FLAVORED VODKA,l,low,0.03992894776484051
WHISKEY LIQUEUR,l,low,0.03842454016529087
AMERICAN SCHNAPPS,l,low,0.03804772037724142
CANADIAN WHISKIES,m,low,0.03507776977586075
TRIPLE SEC,m,low,0.033667594287305175
CANADIAN WHISKIES,l,low,0.033244946542890175
AMERICAN BRANDIES,l,low,0.02417215862912192
SPICED RUM,m,low,0.02376204705373138
COFFEE LIQUEURS,m,low,0.02214627875926022
AMERICAN DRY GINS,l,low,0.019000057320681815
AMERICAN VODKAS,m,low,0.016859701933853426
SPICED RUM,l,low,0.01360315215180427
AMERICAN BRANDIES,m,low,0.010633325445420496
WHITE RUM,l,low,0.009243266995976163
SINGLE MALT SCOTCH,l,low,0.0074080444556044595
AGED DARK RUM,l,low,0.007405323929237775
IMPORTED CORDIALS & LIQUEUR,l,low,0.007103817952182818
AMERICAN FLAVORED VODKA,s,low,0.0037044833531023245
GOLD RUM,m,high,0.0
SPECIAL ORDER ITEMS,s,high,-0.003295969016876399
IMPORTED VODKAS,l,low,-0.011519664603796406
IMPORTED FLAVORED VODKA,m,low,-0.013316788771235008
IMPORTED FLAVORED VODKA,l,low,-0.01454851086662673
GOLD RUM,l,low,-0.014915908666157695
IRISH WHISKIES,s,high,-0.018582431428955676
SPECIAL ORDER ITEMS,l,low,-0.020876110219856674
IMPORTED VODKAS,m,low,-0.02212429883351867
TENNESSEE WHISKIES,l,low,-0.02215838829283229
GOLD RUM,s,high,-0.022492857989280732
STRAIGHT RYE WHISKIES,l,low,-0.02439409582833819
GOLD RUM,s,low,-0.024963753685386114
AMERICAN DRY GINS,s,low,-0.02499302524778803
AMERICAN DRY GINS,s,mid,-0.029808361622565043
