_c0,Store Number,Recency,Frequency,Monetary,r_seg,f_seg,m_seg,RFMScore,prediction,Store,Report Date,Name,Store Status,Address,State,Zip Code,latitude,longitude,City
387,6159,3,1230,148371.55,1,1,2,112,1,6159,2022-11-01,CASEY'S GENERAL STORE #6134 / COUNCIL BLUFFS,A,3501 W BROADWAY,IA,51501,41.261918,-95.90257,COUNCIL BLUFFS
388,5135,4,1365,227343.55,2,1,1,211,1,5135,2022-11-01,FAREWAY STORES #155 / HUXLEY,A,911 HWY 69,IA,50124,41.902012,-93.60822,HUXLEY
389,4300,5,1439,262090.55,2,1,1,211,1,4300,2022-11-01,FAREWAY STORES #625 / OSKALOOSA,A,311  3RD AVE W,IA,52577,41.292613,-92.648318,OSKALOOSA
390,2596,5,2255,175289.64,2,1,1,211,1,2596,2022-11-01,HY-VEE OTTUMWA#2,A,2453 NORTH COURT,IA,52501,,,OTTUMWA
391,5513,3,432,49466.02,1,3,3,133,1,5513,2022-11-01,RICHMOND & FERRY BP,A,720 RICHMOND AVE,IA,52501,41.007266,-92.432493,OTTUMWA
392,3054,6,1087,72157.4,3,2,2,322,1,3054,2022-11-01,MCNALLY'S SUPER VALU,A,1026 MAIN,IA,50112,41.745726,-92.725772,GRINNELL
393,5937,5,541,59700.74,2,3,2,232,1,5937,2022-11-01,CARSTENSEN'S MEAT AND GROCERY / LAKE PARK,A,201 MARKET ST N,IA,51347,43.454834,-95.32133,LAKE PARK
394,2840,0,391,47100.53,1,3,3,133,1,2840,2022-11-01,CVS PHARMACY #8633 / BETTENDORF,A,2002 SPRUCE HILLS DRIVE,IA,52722,41.550134,-90.503814,BETTENDORF
395,5190,7,698,45158.67,3,2,3,323,1,5190,2022-11-01,GUPPY'S ON THE GO / WALFORD,A,200 HWY 151 E,IA,52351,41.881821,-91.828571,WALFORD
396,2709,0,646,37437.22,1,2,3,123,1,2709,2022-11-01,HY-VEE FAST AND FRESH - DUBUQUE,A,2435 NW ARTERIAL,IA,52002,42.51752,-90.741051,DUBUQUE
397,5510,20,504,28622.27,4,3,4,434,1,5510,2022-11-01,KUM & GO #1443 / WILLIAMSBURG,A,2177 M AVE,IA,52361,41.690902,-92.066146,WILLIAMSBURG
398,4609,5,600,55900.9,2,2,3,223,1,4609,2022-11-01,KUM & GO #579 / ANKENY,A,165 SW MAGAZINE RD,IA,50023,41.717286,-93.602007,ANKENY
399,4829,0,15562,11130085.1,1,1,1,111,0,4829,2022-11-01,CENTRAL CITY 2,A,1501 MICHIGAN AVE,IA,50314,41.605828,-93.61374,DES MOINES
400,5482,0,1225,206846.49,1,1,1,111,1,5482,2022-11-01,IOWA MINI MART,A,234 W 3RD ST,IA,52801,41.522416,-90.576587,DAVENPORT
401,5665,17,161,17040.61,4,4,4,444,1,5665,2022-11-01,NEW STAR / FORT DODGE,A,704 AVENUE C,IA,50501,42.497609,-94.196625,FORT DODGE
402,4607,10,155,20160.06,3,4,4,344,1,4607,2022-11-01,CASEY'S GENERAL STORE #1024 / GUTTEN,A,"1131, S HWY 52",IA,52052,42.772826,-91.100516,GUTTENBERG
403,4769,6,472,94866.74,3,3,2,332,1,4769,2022-11-01,ELMA LOCKER AND GROCERY,A,100 GRANT ST,IA,50628,43.244311,-92.435443,ELMA
404,5833,12,151,22113.48,4,4,4,444,1,5833,2022-11-01,CASEY'S GENERAL STORE #1546 / FREMONT,A,203 E MAIN ST,IA,52561,41.212607,-92.43529,FREMONT
405,5890,28,267,35191.64,4,3,3,433,1,5890,2022-11-01,WESTSIDE HOUSER MART / MUSCATINE,A,2201 HOUSER ST,IA,52761,41.436621,-91.079296,MUSCATINE
406,5378,27,179,30187.9,4,4,4,444,1,5378,2022-11-01,CASEY'S GENERAL STORE # 2543/ ALBION,A,201 S MAIN ST.,IA,50005,42.110344,-92.990038,ALBION
407,5173,6,1580,105658.37,3,1,2,312,1,5173,2022-11-01,AUDUBON FOOD LAND,A,104 MARKET ST,IA,50025,41.723057,-94.93625,AUDUBON
408,5870,6,1818,278864.87,3,1,1,311,1,5870,2022-11-01,KEYSTONE LIQUOR,A,517 2ND ST,IA,52241,41.671543,-91.574095,CORALVILLE
409,4642,4,811,90333.0,2,2,2,222,1,4642,2022-11-01,LIQUOR AND TOBACCO OUTLET / UNIV AVE WATERLOO,A,2844 UNIVERSITY AVE,IA,50701,42.498354,-92.382972,WATERLOO
410,6067,0,858,125054.85,1,2,2,122,1,6067,2022-11-01,FAST AVE ONE STOP / MUSCATINE,A,2111 PARK AVE,IA,52761,41.447149,-91.030306,MUSCATINE
411,4414,10,467,42649.63,3,3,3,333,1,4414,2022-11-01,KUM & GO #23 / NEOLA,A,29356 298TH ST,IA,51559,41.438849,-95.612046,NEOLA
412,6057,4,1069,125940.04,2,2,2,222,1,6057,2022-11-01,KUM & GO #0731 / DES MOINES,A,3104 UNIVERSITY AVE,IA,50311,41.600363,-93.65986,DES MOINES
413,6203,3,1614,173643.79,1,1,1,111,1,6203,2022-11-01,WORLD LIQUOR & TOBACCO + VAPORS / WAUKEE,A,23 NE CAREFREE LANE,IA,50263,41.61537,-93.86911,WAUKEE
414,4267,3,716,29803.1,1,2,4,124,1,4267,2022-11-01,MAIN STREET MARKET OF ANITA,A,735 MAIN ST,IA,50020,41.444849,-94.765439,ANITA
415,5662,5,1927,280092.05,2,1,1,211,1,5662,2022-11-01,RIVERSIDE LIQUOR 2 / DAVENPORT,A,1528 W LOCUST,IA,52804,41.53826,-90.597394,DAVENPORT
416,4608,11,533,108456.53,3,3,2,332,1,4608,2022-11-01,CASEY'S GENERAL STORE #3050 / COUNCIL BLUFFS,A,"510, 23RD AVE",IA,51503,41.23931,-95.852481,COUNCIL BLUFFS
417,5443,3,2786,530705.16,1,1,1,111,1,5443,2022-11-01,1ST STOP BEVERAGE SHOP,A,2839 EAST UNIVERSITY AVE.,IA,50317,41.600476,-93.561507,DES MOINES
418,4929,3,466,52682.58,1,3,3,133,1,4929,2022-11-01,CASEY'S GENERAL STORE #1680 / ADEL,A,816 GREENE ST,IA,50003,41.614408,-94.018348,ADEL
419,3670,5,2022,337128.41,2,1,1,211,1,3670,2022-11-01,WAL-MART 2827 / CORALVILLE,A,2801 COMMERCE DR,IA,52241,41.695651,-91.612116,CORALVILLE
420,4539,0,367,32058.79,1,3,3,133,1,4539,2022-11-01,CASEY'S GENERAL STORE #40 / SCRANTON,A,900 LOCUST ST,IA,51462,42.02248,-94.551577,SCRANTON
421,4825,62,240,37009.65,4,4,3,443,1,4825,2022-11-01,CASEY'S GENERAL STORE #3212 / OSCEOLA,A,100 W MCLANE ST,IA,50213,41.030598,-93.76612,OSCEOLA
422,2676,13,45,6516.1,4,4,4,444,1,2676,2022-11-01,HY-VEE GAS / INDIANOLA,A,912 N JEFFERSON WAY,IA,50125,41.36897,-93.558417,INDIANOLA
423,5712,6,413,34980.69,3,3,3,333,1,5712,2022-11-01,CASEY'S #2866-WATERLOO,A,51 E TOWER PARK DRIVE,IA,50701,42.456414,-92.355948,WATERLOO
424,4702,129,88,17850.42,4,4,4,444,1,4702,2022-11-01,WALGREENS #05361 / FORT DODGE,A,2503 5TH AVE S,IA,50501,42.501197,-94.162484,FORT DODGE
425,4466,6,468,68219.36,3,3,2,332,1,4466,2022-11-01,THE PUMPER,A,515 W WATER STREET,IA,52142,42.844438,-91.80894,FAYETTE
426,9001,5,187,197060.1,2,4,1,241,1,9001,2022-11-01,CEDAR RIDGE VINEYARDS,I,1441 MARAK RD NW,IA,52338,41.832151,-91.677809,SWISHER
427,5282,18,62,11278.8,4,4,4,444,1,5282,2022-11-01,YESWAY STORE # 10019/ MASON CITY,A,1224 FEDERAL AVE N,IA,50401,43.163367,-93.201061,MASON CITY
428,5701,6,1348,85611.75,3,1,2,312,1,5701,2022-11-01,THE HUT 23,A,603 10TH STREET,IA,51040,42.03192,-96.097184,ONAWA
429,6315,6,71,2620.15,3,4,4,344,1,6315,2022-11-01,CORNERSTONE APOTHECARY,A,1035 COURT AVENUE,IA,52301,41.79904,-92.070066,MARENGO
430,3524,5,1681,1640806.93,2,1,1,211,1,3524,2022-11-01,SAM'S CLUB 6568 / AMES,A,305 AIRPORT RD,IA,50010,42.001124,-93.614375,AMES
431,3622,5,2385,484141.47,2,1,1,211,1,3622,2022-11-01,WAL-MART 1415 / SPIRIT LAKE,A,2600 HWY 71,IA,51360,43.416452,-95.126535,SPIRIT LAKE
432,6161,5,1304,119906.21,2,1,2,212,1,6161,2022-11-01,CASEY'S #6122 / COUNCIL BLUFFS,A,3434 NEBRASKA AVE,IA,51501,41.244524,-95.900631,COUNCIL BLUFFS
433,5607,10,315,40501.09,3,3,3,333,1,5607,2022-11-01,CASEY'S GENERAL STORE #3294 / URBANA,A,5350 31ST AVE,IA,52345,42.246496,-91.890859,URBANA
434,4549,7,342,41540.22,3,3,3,333,1,4549,2022-11-01,CASEY'S GENERAL STORE #2913 / COLO,A,702 US HWY 65,IA,50056,42.014877,-93.309394,COLO
435,6024,0,318,17953.02,1,3,4,134,1,6024,2022-11-01,CASEY'S GENERAL STORE #1589 / GRUNDY CENTER,A,1708 G AVE,IA,50638,42.361601,-92.787334,GRUNDY CENTER
436,4652,0,2357,344107.55,1,1,1,111,1,4652,2022-11-01,BRADY MART FOOD & LIQUOR,A,"3107, BRADY ST",IA,52803,41.55216,-90.569719,DAVENPORT
437,4699,0,242,37183.93,1,4,3,143,1,4699,2022-11-01,WALGREENS #06553 / BETTENDORF,A,830 MIDDLE RD,IA,52722,41.538452,-90.521768,BETTENDORF
438,5571,5,305,34979.79,2,3,3,233,1,5571,2022-11-01,CASEY'S GENERAL STORE #2782 / CEDAR RAPIDS,A,1495 BLAIRS FERRY RD NE,IA,52402,42.035276,-91.657883,CEDAR RAPIDS
439,6002,6,352,42517.4,3,3,3,333,1,6002,2022-11-01,CASEY'S GENERAL STORE #2597 / SLOAN,A,104 BUCKLEY ST,IA,51055,42.229186,-96.222381,SLOAN
440,5619,6,285,42957.08,3,3,3,333,1,5619,2022-11-01,CASEY'S GENERAL STORE #3041 / ELK RUN HEIGHTS,A,5202 LAFAYETTE RD,IA,50707,42.469069,-92.257902,ELK RUN HEIGHTS
441,4258,3,988,221400.24,1,2,1,121,1,4258,2022-11-01,FAREWAY STORES #009 / BURLINGTON,A,920 LAWRENCE DRIVE,IA,52601,40.799097,-91.140051,BURLINGTON
442,3849,3,839,109544.73,1,2,2,122,1,3849,2022-11-01,HARTIG DRUG CO #6 / DYERSVILLE,A,711  16TH AVE SE,IA,52040,42.470285,-91.116087,DYERSVILLE
443,5355,31,141,16267.86,4,4,4,444,1,5355,2022-11-01,CASEY'S GENERAL STORE # 3523/ ELDRIDGE,A,26701 SCOTT PARK RD.,IA,52748,41.695339,-90.549067,ELDRIDGE
444,6204,3,1836,236422.89,1,1,1,111,1,6204,2022-11-01,DEPOT LIQUOR & GROCERY / MARSHALLTOWN,A,114 CENTER ST.,IA,50158,42.051665,-92.912975,MARSHALLTOWN
445,4723,18,203,38513.5,4,4,3,443,1,4723,2022-11-01,WALGREENS #10557 / CEDAR FALLS,A,2509 WHITETAIL DR,IA,50613,42.540414,-92.476211,CEDAR FALLS
446,4204,0,1085,203405.19,1,2,1,121,1,4204,2022-11-01,FAREWAY STORES #025 / CLINTON,A,1350 11TH ST NW,IA,52733,41.860995,-90.211315,CLINTON
447,2693,31,83,4668.72,4,4,4,444,1,2693,2022-11-01,HY-VEE FAST & FRESH EXPRESS / CRESTON,A,600 SHELDON STREET STE A,IA,50801,41.051401,-94.37264,CRESTON
448,4548,10,243,30957.38,3,4,4,344,1,4548,2022-11-01,CASEY'S GENERAL STORE #2594 / WALKER,A,401 GRANT ST,IA,52352,42.283922,-91.781944,WALKER
449,4508,19,245,36333.43,4,4,3,443,1,4508,2022-11-01,CASEY'S GENERAL STORE #2877 / SPENCER,A,805 GRAND AVE S,IA,51301,43.12977,-95.143866,SPENCER
450,4806,0,716,134432.25,1,2,2,122,1,4806,2022-11-01,GIRI'S LIQUOR STORE / WEST LIBERTY,A,1006 N. COLUMBUS STREET SUITE A,IA,52776,41.578584,-91.260581,WEST LIBERTY
451,5256,21,257,25837.26,4,4,4,444,1,5256,2022-11-01,CASEY'S GENERAL STORE # 1331/ SAC CITY,A,1304 MAIN ST W,IA,50583,42.422724,-94.999958,SAC CITY
452,4506,6,364,50597.89,3,3,3,333,1,4506,2022-11-01,CASEY'S GENERAL STORE #2667 / TIFFIN,A,403 STEPHENS ST,IA,52340,41.707283,-91.660201,TIFFIN
453,5027,6,489,150606.19,3,3,2,332,1,5027,2022-11-01,HARD ROCK HOTEL & CASINO SIOUX CITY,A,111 3RD ST,IA,51101,42.493049,-96.409419,SIOUX CITY
454,5647,14,100,13558.72,4,4,4,444,1,5647,2022-11-01,YESWAY #1169 / STORM LAKE,A,1101 LAKE AVE,IA,50588,42.651369,-95.200761,STORM LAKE
455,4444,6,603,47070.73,3,2,3,323,1,4444,2022-11-01,KUM & GO #4127 / SLOAN,A,1864 HWY 141,IA,51055,42.228581,-96.236082,SLOAN
456,3909,3,736,112022.4,1,2,2,122,1,3909,2022-11-01,D AND S GROCERY,A,104 SE  A ST,IA,50163,41.222471,-93.241634,MELCHER-DALLAS
457,5156,0,220,19922.23,1,4,4,144,1,5156,2022-11-01,CASEY'S GENERAL STORE #1020  / LE CL,A,210 JONES ST,IA,52753,41.598593,-90.345923,LE CLAIRE
458,2521,3,5635,912391.69,1,1,1,111,0,2521,2022-11-01,HY-VEE FOOD AND DRUG / GRAND / WDM,A,1990 GRAND AVENUE,IA,50265,41.571527,-93.731396,WEST DES MOINES
459,4560,6,501,48760.14,3,3,3,333,1,4560,2022-11-01,CASEY'S GENERAL STORE #2914 / HARLAN,A,"1006, CHATBURN AVE",IA,51537,41.645404,-95.322969,HARLAN
460,4256,6,933,201739.3,3,2,1,321,1,4256,2022-11-01,FAREWAY STORES #912 / SIOUX CENTER,A,115  1ST AVE NW,IA,51250,43.078003,-96.176959,SIOUX CENTER
461,4150,4,992,147212.68,2,2,2,222,1,4150,2022-11-01,FAREWAY STORES #951 / WATERLOO,A,40  W SAN MARNAN,IA,50701,,,WATERLOO
462,4714,41,163,16519.58,4,4,4,444,1,4714,2022-11-01,WALGREENS #05943 / INDIANOLA,A,1000 N JEFFERSON ST,IA,50125,,,INDIANOLA
463,4371,0,1037,64812.06,1,2,2,122,1,4371,2022-11-01,KUM & GO #50 / WEST DES MOINES,A,745 S 51ST ST,IA,50265,41.558711,-93.772795,WEST DES MOINES
464,2573,0,8208,1100745.8,1,1,1,111,0,2573,2022-11-01,HY-VEE FOOD STORE / MUSCATINE,A,2400 2ND AVE,IA,52761,41.450849,-91.035301,MUSCATINE
465,4197,4,1145,166573.01,2,2,1,221,1,4197,2022-11-01,FAREWAY STORES #014 / SERGEANT BLUFF,A,700  1ST ST,IA,51054,42.400504,-96.353077,SERGEANT BLUFF
466,6139,0,1071,162917.7,1,2,1,121,1,6139,2022-11-01,SUPER SAVER TOBACCO & LIQUOR / DAVENPORT,A,1610 ROCKINGHAM RD,IA,52802,41.520231,-90.599326,DAVENPORT
467,5350,10,296,41345.04,3,3,3,333,1,5350,2022-11-01,CASEY'S GENERAL STORE # 3562/ MARION,A,680 LINDALE DR.,IA,52302,42.033645,-91.621476,MARION
468,3744,3,913,157686.49,1,2,1,121,1,3744,2022-11-01,RANDY'S NEIGHBORHOOD MARKET / DYERSVILLE,A,733 16TH AVE SE,IA,52040,42.470196,-91.11574,DYERSVILLE
469,2691,4,1954,137574.18,2,1,2,212,1,2691,2022-11-01,HY-VEE FAST & FRESH - DES MOINES,A,5801 HICKMAN ROAD,IA,50322,41.614888,-93.698172,URBANDALE
470,5142,4,1539,95832.35,2,1,2,212,1,5142,2022-11-01,SMOKIN' JOE'S #13 TOBACCO AND LIQUOR OUTLET,A,2315 MT VERNON RD SE,IA,52303,,,CEDAR RAPIDS
471,5894,3,223,47680.02,1,4,3,143,1,5894,2022-11-01,WHISKEY BUSINESS / ALLERTON,A,104 N PRAIRIE ST,IA,50008,40.707034,-93.36933,ALLERTON
472,4517,11,285,53314.3,3,3,3,333,1,4517,2022-11-01,CASEY'S GENERAL STORE #2767 / CEDAR RAPIDS,A,3434 1ST AVE NE,IA,52402,42.013063,-91.635028,CEDAR RAPIDS
473,4397,5,1063,29679.35,2,2,4,224,1,4397,2022-11-01,QUIK TRIP #514 / ANKENY,A,802 E 1ST ST,IA,50021,41.731862,-93.586342,ANKENY
474,4843,21,628,17571.85,4,2,4,424,1,4843,2022-11-01,STEWART ROAD FAST BREAK,A,2418 STEWART RD,IA,52761,41.390826,-91.072733,MUSCATINE
475,5499,4,701,76888.43,2,2,2,222,1,5499,2022-11-01,KUM & GO #184 / ALTOONA,A,1430 1ST AVE NORTH,IA,50009,41.663525,-93.464656,ALTOONA
476,5883,10,172,21694.85,3,4,4,344,1,5883,2022-11-01,KIMMES HUMBOLDT COUNTRY STORE #14,A,411 13TH ST,IA,50548,42.726183,-94.226844,HUMBOLDT
477,5432,4,796,109595.89,2,2,2,222,1,5432,2022-11-01,"BRICK STREET MARKET, LLC",A,114 BRICK STREET,IA,50035,41.689492,-93.461564,BONDURANT
478,6150,6,331,26455.0,3,3,4,334,1,6150,2022-11-01,THE DEPOT GILMAN,A,102 S. ELM ST.,IA,50106,41.879756,-92.785861,GILMAN
479,4879,152,808,155414.62,4,2,1,421,1,4879,2022-11-01,SAM'S MINI MART / MORNINGSIDE AVE SIOUX CITY,I,4218 MORNINGSIDE AVE,IA,51106,42.47063,-96.352851,SIOUX CITY
480,5275,0,588,61455.56,1,2,2,122,1,5275,2022-11-01,CASEY'S GENERAL STORE # 2417/ NEWTON,A,1200 W 18TH ST S,IA,50208,41.688376,-93.076066,NEWTON
481,4438,228,156,7788.52,4,4,4,444,1,4438,2022-11-01,KUM & GO #214  AMES,I,111 DUFF AVE,IA,50010,42.023592,-93.610396,AMES
482,6041,6,1189,297963.6,3,2,1,321,1,6041,2022-11-01,LIQUOR DOWNTOWN / IOWA CITY,A,315 S GILBERT ST,IA,52240,41.657647,-91.530181,IOWA CITY
483,5866,13,489,28136.9,4,3,4,434,1,5866,2022-11-01,HOMETOWN FAMILY MARKET,A,310 2ND ST,IA,50635,42.187653,-92.716422,GLADBROOK
484,4291,3,3393,417920.8,1,1,1,111,0,4291,2022-11-01,FAREWAY STORES #597 / CRESTON,A,105 E ADAMS ST,IA,50801,,,CRESTON
485,4661,3,1104,29536.14,1,2,4,124,1,4661,2022-11-01,QUIK TRIP #531 / GRIMES,A,"1900, SE 37TH ST",IA,50111,41.658525,-93.773467,GRIMES
486,5660,0,1649,312483.74,1,1,1,111,1,5660,2022-11-01,NORTH SIDE LIQUOR & TOBACCO / DUBUQUE,A,2013 CENTRAL AVE,IA,52001,42.511716,-90.670219,DUBUQUE
487,6238,5,604,96796.05,2,2,2,222,1,6238,2022-11-01,WASHINGTON LIQUOR AND TOBACCO OUTLET / WASHINGTON,A,304 WEST MADISON STREET,IA,52353,41.296493,-91.694639,WASHINGTON
488,5517,3,1451,82970.66,1,1,2,112,1,5517,2022-11-01,MEPO FOODS / MEDIAPOLIS,A,111 WAPELLO ST N,IA,52637,41.008539,-91.170033,MEDIAPOLIS
489,6288,4,588,85692.42,2,2,2,222,1,6288,2022-11-01,MIDWEST FOOD & LIQUOR / PLEASANT HILL,A,1250 COPPER CREEK DRIVE,IA,50327,41.601589,-93.524341,PLEASANT HILL
490,3707,5,1283,297840.81,2,1,1,211,1,3707,2022-11-01,TARGET STORE T-1768 / CEDAR RAPIDS,A,1030 BLAIRS FERRY RD,IA,52402,42.035203,-91.651107,CEDAR RAPIDS
491,5398,5,235,25452.18,2,4,4,244,1,5398,2022-11-01,CASEY'S GENERAL STORE # 2272/COLFAX,A,1203 N WALNUT,IA,50054,41.686707,-93.247274,COLFAX
492,6304,4,1720,118059.06,2,1,2,212,1,6304,2022-11-01,WORLD LIQUOR & TOBACCO + VAPORS / AMES,A,111 DUFF AVENUE,IA,50010,42.023592,-93.610396,AMES
493,4731,14,288,39954.45,4,3,3,433,1,4731,2022-11-01,WALGREENS #05060 / CLIVE,A,12753 UNIVERSITY AVE,IA,50325,41.600486,-93.793575,CLIVE
494,3618,0,1080,177384.24,1,2,1,121,1,3618,2022-11-01,WAL-MART 2716 / CEDAR RAPIDS,A,3601 29TH AVE SW,IA,52404,41.949218,-91.718288,CEDAR RAPIDS
495,2601,0,2218,533204.05,1,1,1,111,1,2601,2022-11-01,HY-VEE FOOD STORE / FAIRFIELD,A,1300 WEST BURLINGTON AVE,IA,52556,41.00645,-91.9794,FAIRFIELD
496,4138,6,990,139151.23,3,2,2,322,1,4138,2022-11-01,FAREWAY STORES #657 / INDIANOLA,A,1309 W 2ND,IA,50125,41.356616,-93.579252,INDIANOLA
497,5669,6,1430,143255.61,3,1,2,312,1,5669,2022-11-01,GUDDI MART / WATERLOO,A,306 BYRON AVE,IA,50702,42.480288,-92.353141,WATERLOO
498,5580,31,246,29109.02,4,4,4,444,1,5580,2022-11-01,CASEY'S GENERAL STORE #2 / BOONE,A,114 MAMIE EISENHOWER,IA,50036,42.059601,-93.891545,BOONE
499,5769,12,244,30226.09,4,4,4,444,1,5769,2022-11-01,CASEY'S GENERAL STORE #2208 / OTTUMWA,A,1603 W 2ND ST,IA,52501,41.034863,-92.433272,OTTUMWA
500,5349,5,332,48130.01,2,3,3,233,1,5349,2022-11-01,CASEY'S GENERAL STORE # 3564/ ROBINS,A,990 ROBINS SQUARE DR.,IA,52328,42.068205,-91.65404,ROBINS
501,6048,19,163,20350.24,4,4,4,444,1,6048,2022-11-01,MOD / FORT MADISON,A,1531 AVE H,IA,52627,40.630165,-91.326025,FORT MADISON
502,4255,6,943,242524.55,3,2,1,321,1,4255,2022-11-01,FAREWAY STORES #058 / ORANGE CITY,A,512  8TH SE,IA,51041,,,ORANGE CITY
503,5734,0,1045,154285.62,1,2,1,121,1,5734,2022-11-01,FAREWAY STORES #193 / TIFFIN,A,500 CROELL AVENUE,IA,52340,,,TIFFIN
504,4013,0,698,106377.02,1,2,2,122,1,4013,2022-11-01,WAL-MART 0841 / TIPTON,A,1126 HIGHWAY 38 NORTH,IA,52772,41.783588,-91.127508,TIPTON
505,5818,6,276,31778.85,3,3,3,333,1,5818,2022-11-01,CASEY'S GENERAL STORE #2894 / INDIANOLA,A,1101 E 2ND AVE,IA,50125,41.358073,-93.548319,INDIANOLA
506,5723,10,372,42959.49,3,3,3,333,1,5723,2022-11-01,CASEY'S GENERAL STORE #2538-WAUKEE,A,20 W. HICKMAN RD,IA,50263,41.614862,-93.872778,WAUKEE
507,4721,31,162,16024.33,4,4,4,444,1,4721,2022-11-01,WALGREENS #05044 / BURLINGTON,A,3245 AGENCY ST,IA,52601,40.814794,-91.140542,BURLINGTON
508,4575,3,510,57455.24,1,3,2,132,1,4575,2022-11-01,CASEY'S GENERAL STORE #2304 / SLATER,A,200 6TH AVE,IA,50244,41.877859,-93.679675,SLATER
509,6210,6,772,83055.84,3,2,2,322,1,6210,2022-11-01,BAILEY'S CONVENIENCE / SIOUX CITY,A,1203 TRI VIEW AVENUE,IA,51104,42.494265,-96.422992,SIOUX CITY
510,5816,11,258,36030.44,3,4,3,343,1,5816,2022-11-01,CASEY'S GENERAL STORE #2916 / ALTOONA,A,170 36TH AVE SW,IA,50009,41.649992,-93.508767,ALTOONA
511,4279,12,365,27347.04,4,3,4,434,1,4279,2022-11-01,KEOTA EAGLE FOODS,A,217 E BROADWAY,IA,52248,41.363958,-91.952725,KEOTA
512,3738,0,429,49016.09,1,3,3,133,1,3738,2022-11-01,HARTIG DRUG COMPANY #4 / DUBUQUE,A,2225 CENTRAL AVE,IA,52001,42.513944,-90.671595,DUBUQUE
513,5376,54,116,16538.22,4,4,4,444,1,5376,2022-11-01,CASEY'S GENERAL STORE # 2687/ HAWARDEN,A,1001 AVE E,IA,51023,42.997038,-96.488094,HAWARDEN
514,3811,5,1105,160732.01,2,2,1,221,1,3811,2022-11-01,WAL-MART 1431 / KEOKUK,A,300 NORTH PARK DR,IA,52632,40.417886,-91.408404,KEOKUK
515,4877,4,3135,442613.8,2,1,1,211,1,4877,2022-11-01,WORLD LIQUOR & TOBACCO,A,1775 NW 86TH ST,IA,50325,41.607907,-93.736233,CLIVE
516,4901,3,1410,317281.11,1,1,1,111,1,4901,2022-11-01,FAREWAY STORES #137 / POLK CITY,A,1101 SOUTH 5TH STREET,IA,50226,41.763823,-93.719324,POLK CITY
517,4547,0,679,97810.9,1,2,2,122,1,4547,2022-11-01,FAREWAY STORES #902 / HAMPTON,A,309 CENTRAL AVE WEST,IA,50441,42.741752,-93.211882,HAMPTON
518,4148,0,1432,154667.08,1,1,1,111,1,4148,2022-11-01,FAREWAY STORES #479 / INDEPENDENCE,A,1400 3RD AVE SE,IA,50644,42.455804,-91.890284,INDEPENDENCE
519,2847,101,107,13481.88,4,4,4,444,1,2847,2022-11-01,CVS PHARMACY #10032 / MARION,A,"3499, 7TH AVE",IA,52302,42.035908,-91.574654,MARION
520,6188,7,105,16911.84,3,4,4,344,1,6188,2022-11-01,SPARKY'S ONE STOP / LAKE VIEW,A,HWY 71 & HWY 175,IA,51450,42.311746,-95.148559,LAKE VIEW
521,3624,5,894,146776.23,2,2,2,222,1,3624,2022-11-01,WAL-MART 0748 / NEWTON,A,300 IOWA SPEEDWAY DR,IA,50208,41.697079,-93.014457,NEWTON
522,4160,5,735,117816.45,2,2,2,222,1,4160,2022-11-01,FAREWAY STORES #034 / IOWA CITY,A,2765 COMMERCE DR,IA,52240,41.629617,-91.48043,IOWA CITY
523,4792,17,544,59320.82,4,3,2,432,1,4792,2022-11-01,CASEY'S GENERAL STORE #2899 / DE SOTO,A,1100 GREENE ST,IA,50069,42.066915,-93.8834,DE SOTO
524,5029,5,1653,294321.58,2,1,1,211,1,5029,2022-11-01,THE LIQUOR STOP LLC,A,"211, W 53RD ST",IA,52806,41.574535,-90.575945,DAVENPORT
525,5755,12,266,41062.35,4,3,3,433,1,5755,2022-11-01,CASEY'S GENERAL STORE #0007 / OTTUMWA,A,1001 E MAIN ST,IA,52501,41.010627,-92.401498,OTTUMWA
526,6151,0,3002,699563.24,1,1,1,111,1,6151,2022-11-01,UNIVERSITY LIQUORS / WDM,A,9250 UNIVERSITY AVE UNIT 115,IA,50266,41.600409,-93.832897,WEST DES MOINES
527,2626,4,3523,817224.88,2,1,1,211,0,2626,2022-11-01,HY-VEE DRUGSTORE / UNIVERSITY / DSM,A,4100 UNIVERSITY AVE,IA,50311,41.600361,-93.673312,DES MOINES
528,6093,3,397,30285.39,1,3,4,134,1,6093,2022-11-01,CASEY'S #2741 / SIDNEY,A,901 INDIANA ST,IA,51652,40.748508,-95.646481,SIDNEY
529,5183,3,391,35138.17,1,3,3,133,1,5183,2022-11-01,CASEY'S GENERAL STORE #77 / CASCADE,A,717 1ST  AVE,IA,52033,,,CASCADE
530,2660,6,2903,241780.91,3,1,1,311,1,2660,2022-11-01,HY-VEE FOOD STORE / SIOUX CENTER,A,1951 S MAIN AVE,IA,51250,43.056471,-96.175695,SIOUX CENTER
531,5069,5,981,69770.62,2,2,2,222,1,5069,2022-11-01,CASEY'S GENERAL STORE #1705 / LAKE M,A,101 N LAKE ST,IA,50450,43.419608,-93.532484,LAKE MILLS
532,5692,0,515,72393.43,1,3,2,132,1,5692,2022-11-01,LOCUST MART / DAVENPORT,A,11423 160TH ST,IA,52804,41.538169,-90.680408,DAVENPORT
533,2845,149,101,16473.83,4,4,4,444,1,2845,2022-11-01,CVS PHARMACY #4816 / COUNCIL BLUFFS,A,545 W WASHINGTON ST,IA,51503,41.263132,-95.850866,COUNCIL BLUFFS
