Store Number,Recency,Frequency,Monetary,r_seg,f_seg,m_seg,RFMScore,prediction,Store,Report Date,Name,Store Status,Address,State,Zip Code,longitude,latitude,City
4673,5,1094,157879.19,2,2,1,221,0,4673,2022-11-01,SONNY'S SUPER MARKET / WEST POINT,A,327 5TH ST,IA,52656,-91.452491,40.717863,WEST POINT
6052,3,568,46183.45,1,2,3,123,0,6052,2022-11-01,CASEY'S GENERAL STORE #2568 / NORWALK,A,1510 SUNSET DR,IA,50211,-93.675082,41.483661,NORWALK
3592,3,2599,460952.28,1,1,1,111,0,3592,2022-11-01,WAL-MART 0886 / FORT DODGE,A,3036 1ST AVE SOUTH,IA,50501,-94.153912,42.505334,FORT DODGE
5478,3,354,50772.5,1,3,3,133,0,5478,2022-11-01,CASEY'S GENERAL STORE #3587 / BURLINGTON,A,1911 DES MOINES AVE,IA,52601,-91.108065,40.828252,BURLINGTON
6089,3,619,28725.21,1,2,4,124,0,6089,2022-11-01,CIRCLE K #22654124 / PERRY,A,1115 HWY 141,IA,50220,-94.10386,41.830334,PERRY
4578,12,317,43850.16,4,3,3,433,0,4578,2022-11-01,CASEY'S GENERAL STORE #2592 / FARMINGTON,A,201 S 4TH ST,IA,52626,-91.740069,40.639743,FARMINGTON
6218,68,138,20850.27,4,4,4,444,2,6218,2022-11-01,BOJI JUNCTION / MILFORD,A,2301 OKOBOJI AVENUE,IA,51351,-95.149926,43.338503,MILFORD
4419,24,235,20340.57,4,4,4,444,0,4419,2022-11-01,KUM & GO #4 / LAMONI,A,2091 E MAIN ST,IA,50140,-93.896684,40.623454,LAMONI
5393,14,231,40352.04,4,4,3,443,0,5393,2022-11-01,CASEY'S GENERAL STORE # 1799/ OSAGE,A,309 MAIN ST.,IA,50461,-92.817696,43.28407,OSAGE
10061,5,101,4921.1,2,4,4,244,0,10061,2022-11-01,BIG 10 MART #19 / HIAWATHA,A,1225 BOYSON ROAD,IA,52233,-91.689629,42.044219,HIAWATHA
2706,11,146,11514.4,3,4,4,344,0,2706,2022-11-01,HY-VEE FAST AND FRESH / JOHNSTON,A,5169 MERLE HAY RD.,IA,50131,-93.697534,41.654168,JOHNSTON
