index,Store Number,Recency,Frequency,Monetary,r_seg,f_seg,m_seg,RFMScore,prediction
637,3774,0,783,90514.67,1,2,2,122,0
638,5230,5,1414,390838.36,2,1,1,211,0
639,4495,0,586,89116.22,1,2,2,122,0
640,4446,4,1370,96831.17,2,1,2,212,0
641,5418,5,333,47254.9,2,3,3,233,0
642,5836,19,101,14046.11,4,4,4,444,0
643,2616,0,7167,1070299.39,1,1,1,111,3
644,5756,10,330,21849.29,3,3,4,334,0
645,4968,62,135,21504.2,4,4,4,444,2
646,4640,5,861,242920.15,2,2,1,221,0
647,4490,0,637,96247.39,1,2,2,122,0
648,5228,13,262,41400.25,4,4,3,443,0
649,4712,28,240,30921.34,4,4,4,444,0
650,4404,5,699,47501.41,2,2,3,223,0
651,5574,3,613,66962.32,1,2,2,122,0
652,5191,3,242,22758.03,1,4,4,144,0
653,5950,3,260,34432.48,1,4,3,143,0
654,2668,3,543,51639.86,1,3,3,133,0
655,4378,3,1267,77630.54,1,1,2,112,0
656,5919,3,153,22463.59,1,4,4,144,0
657,5102,0,6810,3331712.92,1,1,1,111,3
658,3625,5,2917,555442.54,2,1,1,211,0
659,6293,12,115,12660.25,4,4,4,444,0
660,5628,5,570,118085.02,2,2,2,222,0
661,3997,6,651,118209.03,3,2,2,322,0
662,4624,12,443,28832.23,4,3,4,434,0
663,4405,5,614,42152.31,2,2,3,223,0
664,6136,6,1093,135387.42,3,2,2,322,0
665,6268,6,1796,160160.82,3,1,1,311,0
666,4239,5,1383,286172.89,2,1,1,211,0
667,6314,3,96,10398.43,1,4,4,144,0
668,4868,3,946,65785.26,1,2,2,122,0
669,6028,3,684,68417.24,1,2,2,122,0
670,2690,35,32,1641.82,4,4,4,444,0
671,4395,6,670,57520.53,3,2,2,322,0
672,5107,4,1714,55450.04,2,1,3,213,0
673,5467,3,274,37332.54,1,3,3,133,0
674,6098,5,276,29099.02,2,3,4,234,0
675,4552,7,672,65286.53,3,2,2,322,0
676,3930,6,683,150939.17,3,2,2,322,0
677,2637,6,6740,798675.13,3,1,1,311,3
678,5501,4,1643,104260.48,2,1,2,212,0
679,4601,3,890,50777.81,1,2,3,123,0
680,6317,17,143,17019.11,4,4,4,444,0
681,5257,3,2628,682813.23,1,1,1,111,0
682,3987,187,414,60964.27,4,3,2,432,1
683,2712,3,3080,463772.38,1,1,1,111,0
684,6338,3,827,94550.7,1,2,2,122,0
685,3721,3,2069,359746.06,1,1,1,111,0
686,3722,4,2517,450247.89,2,1,1,211,0
687,4775,3,495,40080.57,1,3,3,133,0
688,2710,45,344,12419.31,4,3,4,434,2
689,5724,17,257,39373.9,4,4,3,443,0
690,5068,5,4970,548619.96,2,1,1,211,3
691,4859,6,370,44894.45,3,3,3,333,0
692,5651,4,4189,304663.76,2,1,1,211,3
693,6181,12,182,15284.36,4,4,4,444,0
694,2673,5,3066,538710.28,2,1,1,211,0
695,5770,6,371,42720.95,3,3,3,333,0
696,4836,6,368,25582.23,3,3,4,334,0
697,4651,6,860,51384.9,3,2,3,323,0
698,5453,4,425,34169.51,2,3,3,233,0
699,5710,13,687,51410.78,4,2,3,423,0
700,5977,5,199,27663.05,2,4,4,244,0
701,5959,49,34,4987.74,4,4,4,444,2
702,5985,26,175,20625.41,4,4,4,444,0
703,5519,6,466,57924.71,3,3,2,332,0
704,3868,3,3310,622032.45,1,1,1,111,3
705,5521,3,772,66367.65,1,2,2,122,0
706,10042,3,289,13108.98,1,3,4,134,0
707,6269,0,1738,185587.78,1,1,1,111,0
708,6321,49,114,13145.12,4,4,4,444,2
709,3912,4,1483,74429.21,2,1,2,212,0
710,4364,41,361,25949.59,4,3,4,434,0
711,4312,5,3201,2797424.47,2,1,1,211,3
712,5441,0,2526,279037.48,1,1,1,111,0
713,6064,3,469,49728.91,1,3,3,133,0
714,5956,0,560,100575.27,1,3,2,132,0
715,4696,4,1167,44501.23,2,2,3,223,0
716,3882,21,467,47333.79,4,3,3,433,0
717,5593,0,812,139901.98,1,2,2,122,0
