City,Bottle Size,Avg Growth Rate
COON RAPIDS,m,0.17213107083000775
COUNCIL BLUFFS,s,0.17154223726579598
CORYDON,s,0.17120113365886144
DE SOTO,s,0.17109528522545078
ANTHON,m,0.17101024125759634
SUTHERLAND,s,0.17045012640636922
JOHNSTON,s,0.17028223323868605
MARSHALLTOWN,m,0.17025304836032099
SOLON,m,0.17020056008982376
OAKLAND,s,0.16909348483629247
ADAIR,m,0.16905946403347527
MORAVIA,s,0.16905593446052994
DE SOTO,m,0.1685210738708659
CORALVILLE,m,0.16845683550208013
GEORGE,l,0.16845420144317222
WASHBURN,m,0.1683388839486906
IOWA CITY,s,0.16799200162573688
SPIRIT LAKE,m,0.16780224182441694
HUMESTON,l,0.167250198893929
NEVADA,l,0.16724468231242806
TAMA,l,0.16716542192559994
BELMOND,s,0.167078009021264
ELMA,s,0.16666666666666666
NEVADA,m,0.16645542461388643
WATERLOO,s,0.16612828216606793
LE MARS,s,0.16601566724368363
AMES,m,0.16517104535248464
SIBLEY,s,0.16509244637031198
KEOTA,l,0.16439504509741518
BONDURANT,l,0.16387217705871837
WINTHROP,s,0.16341470472551223
WOODBINE,l,0.16339494582679914
ATKINS,m,0.1625262592264918
CENTER POINT,m,0.16174001483522257
GILBERTVILLE,m,0.1616407805839063
STUART,m,0.16135597753058217
NORWALK,l,0.16127635870226043
POSTVILLE,s,0.16114708650937867
HIAWATHA,m,0.16054179689154244
SHELDON,m,0.15865699378164588
SUMNER,m,0.15846148489483672
FAIRFAX,m,0.1583869236364054
CASCADE,s,0.15786743836943717
MISSOURI VALLEY,s,0.15695478138399463
GRINNELL,m,0.15619297430029824
DAKOTA CITY,l,0.1557672876923778
CLEAR LAKE,m,0.1557361077693289
RED OAK,l,0.15551531237556393
CEDAR FALLS,m,0.15532016837320128
ANKENY,m,0.15514690679066537
KEOKUK,m,0.15482962269897996
ZWINGLE,l,0.15421443136831178
EXIRA,m,0.15393755697991704
NORWAY,s,0.15334558324766237
WEBSTER CITY,s,0.15317236663976516
MUSCATINE,s,0.15283099623129973
NEW HAMPTON,m,0.15269413701839565
WEST LIBERTY,s,0.15212310852593314
MONONA,m,0.1519070424629986
RUDD,l,0.15178561632701454
GOWRIE,s,0.15160771429326458
ALBURNETT,s,0.15156590417167695
WOODWARD,l,0.15133606855529322
MASON CITY,s,0.15096481133635298
MANLY,l,0.15049001393210645
ELKADER,l,0.14984549534414207
LECLAIRE,m,0.14924301172260981
LAMONI,s,0.1487176602583292
REMSEN,m,0.14850491436488783
DELMAR,l,0.14839157303046596
LEON,l,0.14834275763493024
STORM LAKE,s,0.1480379627264111
CENTRAL CITY,m,0.14794587724626676
LECLAIRE,s,0.14773690773523404
WINDSOR HEIGHTS,m,0.14739064949716793
MANLY,m,0.14715604308085292
KELLOGG,m,0.1471507851737098
GILMORE CITY,m,0.14681160529719056
PEOSTA,m,0.14671604494702387
BOONE,m,0.14645026608912615
GLIDDEN,l,0.1459899789584914
HIAWATHA,s,0.1455618130061602
LE MARS,m,0.145539877286772
GREENFIELD,s,0.14548781812474668
ALTA,l,0.14536683729913943
DYSART,m,0.1450335109490861
MAPLETON,m,0.14457438470755082
AMANA,m,0.14388911061337942
WAUKON,s,0.14387430946441562
MOUNT PLEASANT,s,0.14385702950317805
AUDUBON,l,0.14359492227042323
SIOUX CITY,s,0.14354129701091659
MECHANICSVILLE,m,0.14335467290474144
DUMONT,s,0.14325201603726279
PLEASANT HILL,m,0.14317920776426332
BELLEVUE,s,0.14280654681835978
TIPTON,s,0.14272477271349807
POCAHONTAS,s,0.142614360170176
WINTERSET,s,0.1425013225459819
TIPTON,l,0.14224880956954103
