City,Category Name,Avg Growth Rate
GLIDDEN,AMERICAN DRY GINS,7.587368152698882
ZWINGLE,CREAM LIQUEURS,7.516713263467358
ALTOONA,MEZCAL,7.514062209882829
ADEL,IMPORTED BRANDIES,7.50450444026493
GRAND MOUNDS,IMPORTED CORDIALS & LIQUEUR,7.433235032142396
AMANA,TEMPORARY & SPECIALTY PACKAGES,7.420014731485203
GILMORE CITY,STRAIGHT BOURBON WHISKIES,7.396825396825397
ARMSTRONG,IMPORTED DRY GINS,7.333333333333334
DALLAS CENTER,STRAIGHT RYE WHISKIES,7.333333333333334
CRESTON,CORN WHISKIES,7.316575696638896
ZWINGLE,TENNESSEE WHISKIES,7.22326288202094
ARNOLDS PARK,IOWA SPIRITS MANUFACTURERS,7.1940949266242855
EMMETSBURG,IOWA SPIRITS MANUFACTURERS,7.184253414216422
MORAVIA,AMERICAN BRANDIES,7.149300899754857
OSSIAN,IMPORTED CORDIALS & LIQUEUR,7.1019086571233805
CENTERVILLE,NEUTRAL GRAIN SPIRITS FLAVORED,7.053946883125099
ALBION,MIXTO TEQUILA,7.04
LE CLAIRE,IMPORTED DRY GINS,7.021633511724361
TREYNOR,IRISH WHISKIES,7.0
PRINCETON,SCOTCH WHISKIES,7.0
DONNELLSON,IRISH WHISKIES,6.999422632794459
WAUKON,IOWA SPIRITS MANUFACTURERS,6.969413869285705
LE MARS,AMERICAN DISTILLED SPIRIT SPECIALTY,6.9479613791024155
GUTHRIE CENTER,100% AGAVE TEQUILA,6.928581695221769
MILFORD,TEMPORARY & SPECIALTY PACKAGES,6.927066290596628
TABOR,TEMPORARY & SPECIALTY PACKAGES,6.905503744524514
BANCROFT,IOWA SPIRITS MANUFACTURERS,6.9053271911897305
RAYMOND,COFFEE LIQUEURS,6.885185185185184
HARPERS FERRY,TRIPLE SEC,6.8795
CHEROKEE,AGED DARK RUM,6.851845253369754
GUTHRIE CENTER,TEMPORARY & SPECIALTY PACKAGES,6.821494851104734
NEW VIRGINIA,AMERICAN SCHNAPPS,6.812652068126521
SUMNER,IOWA SPIRITS MANUFACTURERS,6.79331478134891
BLUE GRASS,IOWA SPIRITS MANUFACTURERS,6.7545461930642
SIGOURNEY,NEUTRAL GRAIN SPIRITS FLAVORED,6.753660438815721
DONNELLSON,COCKTAILS/RTD,6.731282051282051
BUFFALO CENTER,IOWA SPIRITS MANUFACTURERS,6.705333086441693
CARLISLE,NEUTRAL GRAIN SPIRITS FLAVORED,6.6912204007285965
WAUKEE,SPECIAL ORDER ITEMS,6.685486456401169
HAWARDEN,NEUTRAL GRAIN SPIRITS FLAVORED,6.684088613003013
WEST BRANCH,IOWA SPIRITS MANUFACTURERS,6.681915981149904
MAQUOKETA,AMERICAN SLOE GINS,6.666666666666668
HINTON,TEMPORARY & SPECIALTY PACKAGES,6.603033006244423
KNOXVILLE,AMERICAN DISTILLED SPIRIT SPECIALTY,6.58826293067283
MANCHESTER,IMPORTED CORDIALS & LIQUEURS,6.586050724637681
DEWITT,NEUTRAL GRAIN SPIRITS FLAVORED,6.528039012301995
WEST BRANCH,NEUTRAL GRAIN SPIRITS FLAVORED,6.514958823055922
PERRY,IMPORTED DISTILLED SPIRIT SPECIALTY,6.42924443833654
MILFORD,IMPORTED DISTILLED SPIRIT SPECIALTY,6.411943777382685
TIFFIN,TEMPORARY & SPECIALTY PACKAGES,6.409847638801442
MONTROSE,COCKTAILS/RTD,6.403339954091398
PLEASANT HILL,IMPORTED DISTILLED SPIRIT SPECIALTY,6.391536982534089
HIAWATHA,NEUTRAL GRAIN SPIRITS FLAVORED,6.3627219260154995
HARPERS FERRY,NEUTRAL GRAIN SPIRITS,6.329132331555987
MURRAY,AMERICAN VODKAS,6.312627385584584
ELDORA,IOWA SPIRITS MANUFACTURERS,6.279919721844678
CHEROKEE,NEUTRAL GRAIN SPIRITS FLAVORED,6.265322725877831
EDDYVILLE,STRAIGHT RYE WHISKIES,6.242161440960642
HUXLEY,BOTTLED IN BOND BOURBON,6.205555555555556
RUDD,IMPORTED SCHNAPPS,6.166666666666666
BRITT,IOWA SPIRITS MANUFACTURERS,6.1304126982741485
PLEASANT HILL,SPECIAL ORDER ITEMS,6.118467318151004
SAC CITY,AMERICAN DISTILLED SPIRIT SPECIALTY,6.099507877500443
ANITA,TEMPORARY & SPECIALTY PACKAGES,6.084277417288163
PERRY,SINGLE BARREL BOURBON WHISKIES,6.080470362759734
OGDEN,IMPORTED VODKAS,6.070053862553023
HARTLEY,NEUTRAL GRAIN SPIRITS FLAVORED,6.062212132272871
OGDEN,IOWA SPIRITS MANUFACTURERS,6.039831172261783
VILLISCA,IOWA SPIRITS MANUFACTURERS,6.009968374066736
MILFORD,AMERICAN SLOE GINS,6.0
ZWINGLE,NEUTRAL GRAIN SPIRITS,6.0
CRESTON,AMERICAN SLOE GINS,6.0
MARTENSDALE,AMERICAN SCHNAPPS,5.993494676743509
MOUNT AYR,IOWA SPIRITS MANUFACTURERS,5.97144982313229
GRIMES,AMERICAN DISTILLED SPIRIT SPECIALTY,5.9643808915648
LE CLAIRE,IMPORTED DISTILLED SPIRIT SPECIALTY,5.9390855668625475
GOWRIE,TRIPLE SEC,5.920473875500613
PACIFIC JUNCTION,IOWA SPIRITS MANUFACTURERS,5.900164483904699
DUBUQUE,AMERICAN DISTILLED SPIRIT SPECIALTY,5.837464806435395
INDIANOLA,SPECIAL ORDER ITEMS,5.797513680037221
BALDWIN,WHISKEY LIQUEUR,5.794217050655399
SPIRIT LAKE,CORN WHISKIES,5.748481284330339
MAXWELL,TEMPORARY & SPECIALTY PACKAGES,5.747961453299916
ELMA,IMPORTED FLAVORED VODKA,5.727363132654197
RUDD,COCKTAILS/RTD,5.726566352686569
ROCK RAPIDS,STRAIGHT RYE WHISKIES,5.725673422726221
COLESBURG,IMPORTED SCHNAPPS,5.722278738555443
ROCKFORD,TEMPORARY & SPECIALTY PACKAGES,5.712901516582206
MONTROSE,WHITE RUM,5.70962962962963
CENTRAL CITY,AMERICAN DISTILLED SPIRIT SPECIALTY,5.703749999999999
TIFFIN,BOTTLED IN BOND BOURBON,5.6998211890925345
CHEROKEE,SPECIAL ORDER ITEMS,5.685042924029749
WHAT CHEER,FLAVORED RUM,5.672924080664293
COLESBURG,STRAIGHT RYE WHISKIES,5.664518019337826
MINDEN,IMPORTED DRY GINS,5.662222222222222
AVOCA,BOTTLED IN BOND BOURBON,5.6154164005348175
ALBION,FLAVORED RUM,5.6138790035587185
HUMBOLDT,AMERICAN DISTILLED SPIRIT SPECIALTY,5.597001748830731
WHAT CHEER,IOWA SPIRITS MANUFACTURERS,5.5911289669114
MANSON,IOWA SPIRITS MANUFACTURERS,5.5899816602821515
INDEPENDENCE,IMPORTED CORDIALS & LIQUEURS,5.5555555555555545
BOONE,AMERICAN DISTILLED SPIRIT SPECIALTY,5.5504365322236024
SUTHERLAND,TRIPLE SEC,5.545118351434142
ALTA,IMPORTED DRY GINS,5.538031281996963
AMANA,AMERICAN DRY GINS,5.535488310405412
SUTHERLAND,STRAIGHT RYE WHISKIES,5.510255465487595
GOWRIE,CORN WHISKIES,5.506783719074221
SIOUX CENTER,FLAVORED GIN,5.501026694045175
TRAER,SINGLE BARREL BOURBON WHISKIES,5.4862222222222226
STANWOOD,IMPORTED VODKAS,5.4824950062487074
CORYDON,IMPORTED BRANDIES,5.4677091272107745
GLENWOOD,AMERICAN SLOE GINS,5.458333333333333
PLEASANT HILL,AMERICAN DISTILLED SPIRIT SPECIALTY,5.453912943476512
KANAWHA,BLENDED WHISKIES,5.428571428571429
MUSCATINE,MEZCAL,5.417120301789082
ROCKWELL CITY,TEMPORARY & SPECIALTY PACKAGES,5.414763736338372
HOLSTEIN,CORN WHISKIES,5.402051282051282
POCAHONTAS,BOTTLED IN BOND BOURBON,5.389280407029953
OSAGE,AMERICAN DISTILLED SPIRIT SPECIALTY,5.350854187520855
WILLIAMSBURG,COCKTAILS/RTD,5.349537183563445
DELHI,STRAIGHT BOURBON WHISKIES,5.3358585858585865
LOST NATION,AMERICAN CORDIALS & LIQUEUR,5.3266391184573
WEST BEND,TEMPORARY & SPECIALTY PACKAGES,5.306756995746239
POMEROY,AMERICAN FLAVORED VODKA,5.285714285714286
COLESBURG,BLENDED WHISKIES,5.285149384885765
DUNLAP,SINGLE BARREL BOURBON WHISKIES,5.281142857142857
RUDD,AMERICAN FLAVORED VODKA,5.27469917669411
CORNING,SPECIAL ORDER ITEMS,5.2672774444289
EVANSDALE,NEUTRAL GRAIN SPIRITS FLAVORED,5.264551985287695
COGGON,IOWA SPIRITS MANUFACTURERS,5.2532730305363105
PACIFIC JUNCTION,FLAVORED RUM,5.246038905705287
TAMA,GOLD RUM,5.223703703703705
REMSEN,IMPORTED DRY GINS,5.203938000419863
BROOKLYN,BLENDED WHISKIES,5.193656241946022
GLIDDEN,BLENDED WHISKIES,5.185720217312803
COGGON,TEMPORARY & SPECIALTY PACKAGES,5.138996465099525
FORT MADISON,SINGLE BARREL BOURBON WHISKIES,5.137122797639362
MILFORD,IOWA SPIRITS MANUFACTURERS,5.136849256113197
RUDD,SPICED RUM,5.128768789642888
INWOOD,IMPORTED BRANDIES,5.091570648878108
CLEARLAKE,AMERICAN SLOE GINS,5.083333333333333
BROOKLYN,MIXTO TEQUILA,5.07110372780028
OAKLAND,IMPORTED FLAVORED VODKA,5.058644028011423
HUMBOLDT,BOTTLED IN BOND BOURBON,5.055954764374444
HOLSTEIN,IMPORTED DISTILLED SPIRIT SPECIALTY,5.041057242556983
RAYMOND,STRAIGHT RYE WHISKIES,5.031638473264798
GRAETTINGER,IOWA SPIRITS MANUFACTURERS,5.031395504867774
NORTHWOOD,SINGLE BARREL BOURBON WHISKIES,5.019378966455122
CORYDON,IOWA SPIRITS MANUFACTURERS,5.019069730556107
COLESBURG,FLAVORED RUM,5.012128562765313
NORTHWOOD,IOWA SPIRITS MANUFACTURERS,5.003760345635993
BROOKLYN,SINGLE BARREL BOURBON WHISKIES,5.0
LOST NATION,COFFEE LIQUEURS,4.999999999999999
TIPTON,SINGLE BARREL BOURBON WHISKIES,4.974854402611978
CALMAR,NEUTRAL GRAIN SPIRITS FLAVORED,4.960386985469705
TIFFIN,IMPORTED DRY GINS,4.941526852970871
WELLSBURG,IMPORTED CORDIALS & LIQUEUR,4.921794941739675
LARCHWOOD,GOLD RUM,4.901624548736462
KALONA,AMERICAN FLAVORED VODKA,4.89897553131111
CEDAR FALLS,IMPORTED CORDIALS & LIQUEURS,4.8822222222222225
MARCUS,IOWA SPIRITS MANUFACTURERS,4.872410129085295
URBANA,AMERICAN BRANDIES,4.8599932210646495
WINFIELD,AMERICAN CORDIALS & LIQUEUR,4.849173553719009
LA PORTE CITY,SINGLE BARREL BOURBON WHISKIES,4.831878475353993
MILFORD,AMERICAN DISTILLED SPIRIT SPECIALTY,4.817714772506375
GRIMES,MEZCAL,4.8009499588969256
COLESBURG,AMERICAN VODKAS,4.771371769383698
ESSEX,FLAVORED RUM,4.759540540986912
NICHOLS,IMPORTED VODKAS,4.744513674605058
RAYMOND,SINGLE MALT SCOTCH,4.721271393643031
NEW SHARON,TEMPORARY & SPECIALTY PACKAGES,4.720465127616992
HULL,AMERICAN VODKAS,4.715932470212478
GRIMES,IMPORTED DISTILLED SPIRIT SPECIALTY,4.710259531691897
BAXTER,COFFEE LIQUEURS,4.708987650556488
URBANA,IOWA SPIRITS MANUFACTURERS,4.6952012490018395
CLIVE,IMPORTED DISTILLED SPIRIT SPECIALTY,4.68575353288226
PRAIRIE CITY,AMERICAN BRANDIES,4.674914089347078
VILLISCA,TEMPORARY & SPECIALTY PACKAGES,4.658246982551168
ATKINS,SINGLE BARREL BOURBON WHISKIES,4.648
VICTOR,IOWA SPIRITS MANUFACTURERS,4.6439984847221805
BUFFALO CENTER,IMPORTED DRY GINS,4.630211339700419
COLUMBUS JUNCTION,TEMPORARY & SPECIALTY PACKAGES,4.617291876208895
ROCKWELL CITY,IOWA SPIRITS MANUFACTURERS,4.616988256700298
DE SOTO,IOWA SPIRITS MANUFACTURERS,4.579189071977197
GUTTENBERG,SINGLE BARREL BOURBON WHISKIES,4.574862283033412
GRAND MOUNDS,NEUTRAL GRAIN SPIRITS FLAVORED,4.538178840034336
JESUP,IOWA SPIRITS MANUFACTURERS,4.5272906641000965
SHELDON,CORN WHISKIES,4.5096179183135705
SWISHER,100% AGAVE TEQUILA,4.509024628789899
BUFFALO CENTER,STRAIGHT RYE WHISKIES,4.508644991542943
GRANGER,TEMPORARY & SPECIALTY PACKAGES,4.507700786279441
OSCEOLA,IOWA SPIRITS MANUFACTURERS,4.494648362598308
ELDRIDGE,MEZCAL,4.475701574264202
FOREST CITY,IOWA SPIRITS MANUFACTURERS,4.441689289845563
ARNOLDS PARK,MEZCAL,4.432381899978537
VINTON,IMPORTED BRANDIES,4.4296279481176475
DEXTER,AMERICAN SCHNAPPS,4.429479033626989
ALTON,FLAVORED RUM,4.425711743772242
TIFFIN,IOWA SPIRITS MANUFACTURERS,4.422264824049859
ESSEX,AMERICAN CORDIALS & LIQUEUR,4.4141162537316685
HOLY CROSS,AMERICAN DRY GINS,4.408854166666667
JEWELL,IOWA SPIRITS MANUFACTURERS,4.4066612465740596
GLENWOOD,BOTTLED IN BOND BOURBON,4.400389287841009
WEST BEND,100% AGAVE TEQUILA,4.398860124786937
GILMORE CITY,TEMPORARY & SPECIALTY PACKAGES,4.387631366208569
GARNER,100% AGAVE TEQUILA,4.369081839493465
FREDERICKSBURG,TEMPORARY & SPECIALTY PACKAGES,4.368974705261448
COLFAX,NEUTRAL GRAIN SPIRITS FLAVORED,4.362240740740741
OAKLAND,TEMPORARY & SPECIALTY PACKAGES,4.352381203612692
GREENE,IOWA SPIRITS MANUFACTURERS,4.350266665481317
ROLAND,COCKTAILS/RTD,4.3368692569857155
DONNELLSON,AMERICAN FLAVORED VODKA,4.330906234506672
CLEAR LAKE,AMERICAN DISTILLED SPIRIT SPECIALTY,4.328723573849821
MARENGO,BOTTLED IN BOND BOURBON,4.327083333333333
WALL LAKE,TENNESSEE WHISKIES,4.3191502741248895
MURRAY,WHISKEY LIQUEUR,4.317363293111187
FLOYD,100% AGAVE TEQUILA,4.290995651342906
RIVERSIDE,IOWA SPIRITS MANUFACTURERS,4.2872143280164705
HAWARDEN,TEMPORARY & SPECIALTY PACKAGES,4.275443380541945
MAXWELL,IMPORTED FLAVORED VODKA,4.2672
IDA GROVE,NEUTRAL GRAIN SPIRITS FLAVORED,4.266039947871885
SAINT ANSGAR,CREAM LIQUEURS,4.249244786521456
POLK CITY,SINGLE BARREL BOURBON WHISKIES,4.242171769106862
ALLISON,COFFEE LIQUEURS,4.2378698548495075
AMANA,AMERICAN CORDIALS & LIQUEUR,4.225255164436889
FREMONT,IOWA SPIRITS MANUFACTURERS,4.21758910206066
LE CLAIRE,COCKTAILS/RTD,4.217337851694409
CONRAD,IRISH WHISKIES,4.206953031182542
ANAMOSA,NEUTRAL GRAIN SPIRITS FLAVORED,4.205469843896659
CONRAD,AMERICAN CORDIALS & LIQUEUR,4.187810388480387
HAMPTON,IMPORTED BRANDIES,4.181460508991177
DUBUQUE,CORN WHISKIES,4.177007205759435
BANCROFT,IMPORTED BRANDIES,4.176843362556369
